n,data_inserimento,partito,valore
5,2024-09-03,Altri,5.6
6,2024-09-02,Partito Democratico,23.8
6,2024-09-02,Forza Italia,9.1
6,2024-09-02,Fratelli d'Italia,29.5
6,2024-09-02,Alleanza Verdi Sinistra,7.0
6,2024-09-02,Lega,8.6
6,2024-09-02,Movimento 5 Stelle,9.9
6,2024-09-02,+Europa,1.6
6,2024-09-02,Azione,3.1
6,2024-09-02,Italia Viva,2.1
6,2024-09-02,Altri,5.1
7,2024-09-02,Partito Democratico,23.3
7,2024-09-02,Forza Italia,9.2
7,2024-09-02,Fratelli d'Italia,28.6
7,2024-09-02,Alleanza Verdi Sinistra,7.0
7,2024-09-02,Lega,7.9
7,2024-09-02,Movimento 5 Stelle,11.1
7,2024-09-02,+Europa,2.3
7,2024-09-02,Azione,3.5
7,2024-09-02,Italia Viva,2.0
7,2024-09-02,Altri,4.1
8,2024-09-02,Partito Democratico,24.0
8,2024-09-02,Forza Italia,10.8
8,2024-09-02,Fratelli d'Italia,29.1
8,2024-09-02,Alleanza Verdi Sinistra,6.2
8,2024-09-02,Lega,8.3
8,2024-09-02,Movimento 5 Stelle,10.8
8,2024-09-02,+Europa,1.9
8,2024-09-02,Azione,2.8
8,2024-09-02,Italia Viva,2.0
8,2024-09-02,Altri,4.1
9,2024-08-26,Partito Democratico,23.7
9,2024-08-26,Forza Italia,9.0
9,2024-08-26,Fratelli d'Italia,29.3
9,2024-08-26,Alleanza Verdi Sinistra,7.0
9,2024-08-26,Lega,8.5
9,2024-08-26,Movimento 5 Stelle,10.1
9,2024-08-26,+Europa,1.7
9,2024-08-26,Azione,3.2
9,2024-08-26,Italia Viva,2.1
9,2024-08-26,Altri,1.0
10,2024-07-30,Partito Democratico,22.7
10,2024-07-30,Forza Italia,8.3
10,2024-07-30,Fratelli d'Italia,29.8
10,2024-07-30,Alleanza Verdi Sinistra,6.7
10,2024-07-30,Lega,8.3
10,2024-07-30,Movimento 5 Stelle,11.4
10,2024-07-30,+Europa,2.0
10,2024-07-30,Azione,3.2
10,2024-07-30,Italia Viva,2.4
10,2024-07-30,Altri,5.2
11,2024-07-29,Partito Democratico,23.5
11,2024-07-29,Forza Italia,9.0
11,2024-07-29,Fratelli d'Italia,28.7
11,2024-07-29,Alleanza Verdi Sinistra,5.6
11,2024-07-29,Lega,9.2
11,2024-07-29,Movimento 5 Stelle,10.4
11,2024-07-29,+Europa,1.5
11,2024-07-29,Azione,3.4
11,2024-07-29,Italia Viva,2.4
11,2024-07-29,Altri,3.3
12,2024-07-29,Partito Democratico,24.6
12,2024-07-29,Forza Italia,10.3
12,2024-07-29,Fratelli d'Italia,28.9
12,2024-07-29,Alleanza Verdi Sinistra,6.7
12,2024-07-29,Lega,8.5
12,2024-07-29,Movimento 5 Stelle,10.0
12,2024-07-29,+Europa,2.0
12,2024-07-29,Azione,3.0
12,2024-07-29,Italia Viva,1.9
12,2024-07-29,Altri,4.1
13,2024-07-28,Partito Democratico,24.0
13,2024-07-28,Forza Italia,9.4
13,2024-07-28,Fratelli d'Italia,29.6
13,2024-07-28,Alleanza Verdi Sinistra,6.9
13,2024-07-28,Lega,8.3
13,2024-07-28,Movimento 5 Stelle,9.7
13,2024-07-28,+Europa,1.7
13,2024-07-28,Azione,3.1
13,2024-07-28,Italia Viva,2.0
13,2024-07-28,Altri,0.8
14,2024-07-27,Partito Democratico,22.6
14,2024-07-27,Forza Italia,8.7
14,2024-07-27,Fratelli d'Italia,27.9
14,2024-07-27,Alleanza Verdi Sinistra,6.4
14,2024-07-27,Lega,8.0
14,2024-07-27,Movimento 5 Stelle,13.0
14,2024-07-27,+Europa,1.6
14,2024-07-27,Azione,3.0
14,2024-07-27,Italia Viva,2.3
14,2024-07-27,Altri,4.7
15,2024-07-24,Partito Democratico,24.0
15,2024-07-24,Forza Italia,9.6
15,2024-07-24,Fratelli d'Italia,29.2
15,2024-07-24,Alleanza Verdi Sinistra,7.1
15,2024-07-24,Lega,8.5
15,2024-07-24,Movimento 5 Stelle,9.9
15,2024-07-24,+Europa,1.6
15,2024-07-24,Azione,3.1
15,2024-07-24,Italia Viva,1.9
15,2024-07-24,Altri,0.7
16,2024-07-24,Partito Democratico,23.8
16,2024-07-24,Forza Italia,9.3
16,2024-07-24,Fratelli d'Italia,28.5
16,2024-07-24,Alleanza Verdi Sinistra,6.4
16,2024-07-24,Lega,8.6
16,2024-07-24,Movimento 5 Stelle,10.5
16,2024-07-24,+Europa,2.1
16,2024-07-24,Azione,2.9
16,2024-07-24,Italia Viva,1.9
16,2024-07-24,Altri,5.0
17,2024-07-23,Partito Democratico,22.8
17,2024-07-23,Forza Italia,8.3
17,2024-07-23,Fratelli d'Italia,30.0
17,2024-07-23,Alleanza Verdi Sinistra,6.9
17,2024-07-23,Lega,8.5
17,2024-07-23,Movimento 5 Stelle,11.1
17,2024-07-23,+Europa,1.8
17,2024-07-23,Azione,3.4
17,2024-07-23,Italia Viva,2.4
17,2024-07-23,Altri,5.0
18,2024-07-22,Partito Democratico,24.6
18,2024-07-22,Forza Italia,10.2
18,2024-07-22,Fratelli d'Italia,28.7
18,2024-07-22,Alleanza Verdi Sinistra,6.9
18,2024-07-22,Lega,8.4
18,2024-07-22,Movimento 5 Stelle,9.8
18,2024-07-22,+Europa,2.0
18,2024-07-22,Azione,3.2
18,2024-07-22,Italia Viva,2.0
18,2024-07-22,Altri,2.6
19,2024-07-16,Partito Democratico,23.0
19,2024-07-16,Forza Italia,8.7
19,2024-07-16,Fratelli d'Italia,29.6
19,2024-07-16,Alleanza Verdi Sinistra,7.0
19,2024-07-16,Lega,8.4
19,2024-07-16,Movimento 5 Stelle,10.8
19,2024-07-16,+Europa,1.8
19,2024-07-16,Azione,3.5
19,2024-07-16,Italia Viva,2.2
19,2024-07-16,Altri,3.0
20,2024-07-15,Partito Democratico,24.5
20,2024-07-15,Forza Italia,10.0
20,2024-07-15,Fratelli d'Italia,28.7
20,2024-07-15,Alleanza Verdi Sinistra,6.8
20,2024-07-15,Lega,8.5
20,2024-07-15,Movimento 5 Stelle,9.7
20,2024-07-15,+Europa,2.2
20,2024-07-15,Azione,3.1
20,2024-07-15,Italia Viva,1.9
20,2024-07-15,Altri,2.7
21,2024-07-14,Partito Democratico,24.3
21,2024-07-14,Forza Italia,9.5
21,2024-07-14,Fratelli d'Italia,29.1
21,2024-07-14,Alleanza Verdi Sinistra,6.9
21,2024-07-14,Lega,8.8
21,2024-07-14,Movimento 5 Stelle,9.6
21,2024-07-14,+Europa,1.6
21,2024-07-14,Azione,3.2
21,2024-07-14,Italia Viva,2.0
21,2024-07-14,Altri,1.9
22,2024-07-09,Partito Democratico,23.3
22,2024-07-09,Forza Italia,8.5
22,2024-07-09,Fratelli d'Italia,29.2
22,2024-07-09,Alleanza Verdi Sinistra,7.0
22,2024-07-09,Lega,8.4
22,2024-07-09,Movimento 5 Stelle,10.6
22,2024-07-09,+Europa,1.9
22,2024-07-09,Azione,3.4
22,2024-07-09,Italia Viva,2.1
22,2024-07-09,Altri,5.6
23,2024-07-08,Partito Democratico,24.6
23,2024-07-08,Forza Italia,10.0
23,2024-07-08,Fratelli d'Italia,28.7
23,2024-07-08,Alleanza Verdi Sinistra,6.7
23,2024-07-08,Lega,8.7
23,2024-07-08,Movimento 5 Stelle,9.6
23,2024-07-08,+Europa,2.0
23,2024-07-08,Azione,3.2
23,2024-07-08,Italia Viva,1.9
23,2024-07-08,Altri,2.5
24,2024-07-07,Partito Democratico,24.2
24,2024-07-07,Forza Italia,9.6
24,2024-07-07,Fratelli d'Italia,29.3
24,2024-07-07,Alleanza Verdi Sinistra,7.1
24,2024-07-07,Lega,8.9
24,2024-07-07,Movimento 5 Stelle,9.5
24,2024-07-07,+Europa,1.5
24,2024-07-07,Azione,3.3
24,2024-07-07,Italia Viva,1.9
24,2024-07-07,Altri,4.7
25,2024-07-03,Partito Democratico,23.6
25,2024-07-03,Forza Italia,8.5
25,2024-07-03,Fratelli d'Italia,29.0
25,2024-07-03,Alleanza Verdi Sinistra,7.0
25,2024-07-03,Lega,8.7
25,2024-07-03,Movimento 5 Stelle,10.3
25,2024-07-03,+Europa,2.0
25,2024-07-03,Azione,3.5
25,2024-07-03,Italia Viva,1.9
25,2024-07-03,Altri,3.5
26,2024-07-02,Partito Democratico,24.0
26,2024-07-02,Forza Italia,9.0
26,2024-07-02,Fratelli d'Italia,29.2
26,2024-07-02,Alleanza Verdi Sinistra,6.8
26,2024-07-02,Lega,8.1
26,2024-07-02,Movimento 5 Stelle,9.6
26,2024-07-02,+Europa,2.0
26,2024-07-02,Azione,3.7
26,2024-07-02,Italia Viva,2.1
26,2024-07-02,Altri,2.4
27,2024-07-01,Partito Democratico,24.0
27,2024-07-01,Forza Italia,9.2
27,2024-07-01,Fratelli d'Italia,29.0
27,2024-07-01,Alleanza Verdi Sinistra,6.6
27,2024-07-01,Lega,9.0
27,2024-07-01,Movimento 5 Stelle,9.7
27,2024-07-01,+Europa,1.6
27,2024-07-01,Azione,3.4
27,2024-07-01,Italia Viva,3.1
27,2024-07-01,Altri,1.0
28,2024-07-01,Partito Democratico,24.5
28,2024-07-01,Forza Italia,9.8
28,2024-07-01,Fratelli d'Italia,28.8
28,2024-07-01,Alleanza Verdi Sinistra,6.8
28,2024-07-01,Lega,8.8
28,2024-07-01,Movimento 5 Stelle,9.6
28,2024-07-01,+Europa,2.1
28,2024-07-01,Azione,3.4
28,2024-07-01,Italia Viva,1.7
28,2024-07-01,Altri,2.3
29,2024-07-01,Partito Democratico,22.8
29,2024-07-01,Forza Italia,8.5
29,2024-07-01,Fratelli d'Italia,28.1
29,2024-07-01,Alleanza Verdi Sinistra,6.2
29,2024-07-01,Lega,8.8
29,2024-07-01,Movimento 5 Stelle,12.5
29,2024-07-01,+Europa,1.5
29,2024-07-01,Azione,2.5
29,2024-07-01,Italia Viva,2.5
29,2024-07-01,Altri,4.8
30,2024-06-30,Partito Democratico,24.2
30,2024-06-30,Forza Italia,9.6
30,2024-06-30,Fratelli d'Italia,29.6
30,2024-06-30,Alleanza Verdi Sinistra,7.2
30,2024-06-30,Lega,8.7
30,2024-06-30,Movimento 5 Stelle,9.4
30,2024-06-30,+Europa,1.5
30,2024-06-30,Azione,3.1
30,2024-06-30,Italia Viva,2.0
30,2024-06-30,Altri,3.6
31,2024-06-25,Partito Democratico,23.5
31,2024-06-25,Forza Italia,8.7
31,2024-06-25,Fratelli d'Italia,29.0
31,2024-06-25,Alleanza Verdi Sinistra,7.1
31,2024-06-25,Lega,8.8
31,2024-06-25,Movimento 5 Stelle,10.0
31,2024-06-25,+Europa,2.2
31,2024-06-25,Azione,3.4
31,2024-06-25,Italia Viva,1.7
31,2024-06-25,Altri,5.6
32,2024-06-24,Partito Democratico,24.3
32,2024-06-24,Forza Italia,9.8
32,2024-06-24,Fratelli d'Italia,29.0
32,2024-06-24,Alleanza Verdi Sinistra,6.9
32,2024-06-24,Lega,8.9
32,2024-06-24,Movimento 5 Stelle,9.7
32,2024-06-24,+Europa,2.0
32,2024-06-24,Azione,3.3
32,2024-06-24,Italia Viva,1.8
32,2024-06-24,Altri,2.1
33,2024-06-18,Partito Democratico,23.8
33,2024-06-18,Forza Italia,9.0
33,2024-06-18,Fratelli d'Italia,28.6
33,2024-06-18,Alleanza Verdi Sinistra,6.9
33,2024-06-18,Lega,8.8
33,2024-06-18,Movimento 5 Stelle,9.7
33,2024-06-18,+Europa,2.1
33,2024-06-18,Azione,3.6
33,2024-06-18,Italia Viva,1.8
33,2024-06-18,Altri,5.6
34,2024-06-17,Partito Democratico,24.4
34,2024-06-17,Forza Italia,9.8
34,2024-06-17,Fratelli d'Italia,29.4
34,2024-06-17,Alleanza Verdi Sinistra,7.1
34,2024-06-17,Lega,8.6
34,2024-06-17,Movimento 5 Stelle,9.6
34,2024-06-17,+Europa,1.6
34,2024-06-17,Azione,3.2
34,2024-06-17,Italia Viva,2.0
34,2024-06-17,Altri,5.2
35,2024-05-25,Partito Democratico,22.0
35,2024-05-25,Forza Italia,8.6
35,2024-05-25,Fratelli d'Italia,27.3
35,2024-05-25,Alleanza Verdi Sinistra,4.6
35,2024-05-25,Lega,8.6
35,2024-05-25,Movimento 5 Stelle,14.7
35,2024-05-25,Azione,4.0
35,2024-05-25,Altri,8.3
36,2024-05-24,Partito Democratico,19.6
36,2024-05-24,Forza Italia,8.5
36,2024-05-24,Fratelli d'Italia,26.8
36,2024-05-24,Alleanza Verdi Sinistra,4.0
36,2024-05-24,Lega,9.0
36,2024-05-24,Movimento 5 Stelle,15.7
36,2024-05-24,Azione,3.9
36,2024-05-24,Altri,2.7
37,2024-05-24,Partito Democratico,20.3
37,2024-05-24,Forza Italia,8.5
37,2024-05-24,Fratelli d'Italia,27.2
37,2024-05-24,Alleanza Verdi Sinistra,4.9
37,2024-05-24,Lega,9.0
37,2024-05-24,Movimento 5 Stelle,15.9
37,2024-05-24,Azione,3.9
37,2024-05-24,Italia Viva,4.1
37,2024-05-24,Altri,5.3
38,2024-05-24,Partito Democratico,20.5
38,2024-05-24,Forza Italia,8.0
38,2024-05-24,Fratelli d'Italia,28.5
38,2024-05-24,Alleanza Verdi Sinistra,3.5
38,2024-05-24,Lega,8.0
38,2024-05-24,Movimento 5 Stelle,16.0
38,2024-05-24,Azione,5.0
38,2024-05-24,Altri,6.5
39,2024-05-22,Partito Democratico,21.0
39,2024-05-22,Forza Italia,8.4
39,2024-05-22,Fratelli d'Italia,27.0
39,2024-05-22,Alleanza Verdi Sinistra,4.6
39,2024-05-22,Lega,8.3
39,2024-05-22,Movimento 5 Stelle,15.7
39,2024-05-22,Azione,4.2
39,2024-05-22,Italia Viva,4.4
39,2024-05-22,Altri,6.6
40,2024-05-20,Partito Democratico,19.6
40,2024-05-20,Forza Italia,8.4
40,2024-05-20,Fratelli d'Italia,27.2
40,2024-05-20,Alleanza Verdi Sinistra,3.8
40,2024-05-20,Lega,8.8
40,2024-05-20,Movimento 5 Stelle,15.9
40,2024-05-20,Azione,3.9
40,2024-05-20,Altri,2.5
41,2024-05-20,Partito Democratico,20.6
41,2024-05-20,Forza Italia,9.9
41,2024-05-20,Fratelli d'Italia,27.2
41,2024-05-20,Alleanza Verdi Sinistra,4.2
41,2024-05-20,Lega,8.0
41,2024-05-20,Movimento 5 Stelle,15.7
41,2024-05-20,Azione,4.0
41,2024-05-20,Altri,2.0
42,2024-05-14,Partito Democratico,20.7
42,2024-05-14,Forza Italia,8.0
42,2024-05-14,Fratelli d'Italia,26.8
42,2024-05-14,Alleanza Verdi Sinistra,4.4
42,2024-05-14,Lega,8.3
42,2024-05-14,Movimento 5 Stelle,16.1
42,2024-05-14,Azione,4.0
42,2024-05-14,Italia Viva,4.7
42,2024-05-14,Altri,4.2
43,2024-05-13,Partito Democratico,19.6
43,2024-05-13,Forza Italia,8.6
43,2024-05-13,Fratelli d'Italia,27.0
43,2024-05-13,Alleanza Verdi Sinistra,3.9
43,2024-05-13,Lega,8.8
43,2024-05-13,Movimento 5 Stelle,16.2
43,2024-05-13,Azione,3.8
43,2024-05-13,Italia Viva,4.9
43,2024-05-13,Altri,5.3
44,2024-05-13,Partito Democratico,20.5
44,2024-05-13,Forza Italia,10.1
44,2024-05-13,Fratelli d'Italia,27.4
44,2024-05-13,Alleanza Verdi Sinistra,4.1
44,2024-05-13,Lega,7.9
44,2024-05-13,Movimento 5 Stelle,15.7
44,2024-05-13,Azione,3.9
44,2024-05-13,Italia Viva,4.5
44,2024-05-13,Altri,5.9
45,2024-05-07,Partito Democratico,20.6
45,2024-05-07,Forza Italia,8.5
45,2024-05-07,Fratelli d'Italia,26.6
45,2024-05-07,Alleanza Verdi Sinistra,4.6
45,2024-05-07,Lega,8.8
45,2024-05-07,Movimento 5 Stelle,16.1
45,2024-05-07,Azione,4.5
45,2024-05-07,Italia Viva,4.9
45,2024-05-07,Altri,3.6
46,2024-05-07,Partito Democratico,20.5
46,2024-05-07,Forza Italia,8.3
46,2024-05-07,Fratelli d'Italia,27.3
46,2024-05-07,Alleanza Verdi Sinistra,4.4
46,2024-05-07,Lega,8.3
46,2024-05-07,Movimento 5 Stelle,16.0
46,2024-05-07,Azione,3.8
46,2024-05-07,Italia Viva,4.5
46,2024-05-07,Altri,5.4
47,2024-05-06,Partito Democratico,20.3
47,2024-05-06,Forza Italia,10.2
47,2024-05-06,Fratelli d'Italia,27.3
47,2024-05-06,Alleanza Verdi Sinistra,4.0
47,2024-05-06,Lega,7.8
47,2024-05-06,Movimento 5 Stelle,15.9
47,2024-05-06,Azione,3.8
47,2024-05-06,Altri,2.5
48,2024-05-01,Partito Democratico,19.6
48,2024-05-01,Forza Italia,8.5
48,2024-05-01,Fratelli d'Italia,27.6
48,2024-05-01,Alleanza Verdi Sinistra,3.5
48,2024-05-01,Lega,8.4
48,2024-05-01,Movimento 5 Stelle,16.0
48,2024-05-01,Azione,3.9
48,2024-05-01,Altri,1.5
49,2024-04-30,Partito Democratico,20.3
49,2024-04-30,Forza Italia,8.4
49,2024-04-30,Fratelli d'Italia,26.6
49,2024-04-30,Alleanza Verdi Sinistra,4.5
49,2024-04-30,Lega,8.6
49,2024-04-30,Movimento 5 Stelle,15.6
49,2024-04-30,Azione,4.2
49,2024-04-30,Italia Viva,4.5
49,2024-04-30,Altri,5.3
50,2024-04-29,Partito Democratico,20.0
50,2024-04-29,Forza Italia,10.2
50,2024-04-29,Fratelli d'Italia,27.5
50,2024-04-29,Alleanza Verdi Sinistra,3.9
50,2024-04-29,Lega,7.7
50,2024-04-29,Movimento 5 Stelle,16.0
50,2024-04-29,Azione,3.8
50,2024-04-29,Italia Viva,4.8
50,2024-04-29,Altri,2.3
51,2024-04-23,Partito Democratico,20.0
51,2024-04-23,Forza Italia,8.4
51,2024-04-23,Fratelli d'Italia,26.8
51,2024-04-23,Alleanza Verdi Sinistra,4.3
51,2024-04-23,Lega,8.5
51,2024-04-23,Movimento 5 Stelle,15.9
51,2024-04-23,Azione,4.1
51,2024-04-23,Italia Viva,4.7
51,2024-04-23,Altri,6.0
52,2024-04-22,Partito Democratico,19.7
52,2024-04-22,Forza Italia,8.3
52,2024-04-22,Fratelli d'Italia,27.5
52,2024-04-22,Alleanza Verdi Sinistra,3.2
52,2024-04-22,Lega,8.5
52,2024-04-22,Movimento 5 Stelle,16.1
52,2024-04-22,Azione,3.8
52,2024-04-22,Italia Viva,5.2
52,2024-04-22,Altri,1.7
53,2024-04-22,Partito Democratico,19.7
53,2024-04-22,Forza Italia,10.1
53,2024-04-22,Fratelli d'Italia,27.4
53,2024-04-22,Alleanza Verdi Sinistra,3.7
53,2024-04-22,Lega,7.8
53,2024-04-22,Movimento 5 Stelle,16.3
53,2024-04-22,Azione,3.7
53,2024-04-22,Altri,2.4
54,2024-04-22,Partito Democratico,21.2
54,2024-04-22,Forza Italia,8.6
54,2024-04-22,Fratelli d'Italia,28.5
54,2024-04-22,Alleanza Verdi Sinistra,3.7
54,2024-04-22,Lega,7.4
54,2024-04-22,Movimento 5 Stelle,15.9
54,2024-04-22,Azione,3.8
54,2024-04-22,Altri,4.0
55,2024-04-19,Partito Democratico,19.5
55,2024-04-19,Forza Italia,8.5
55,2024-04-19,Fratelli d'Italia,27.5
55,2024-04-19,Alleanza Verdi Sinistra,3.5
55,2024-04-19,Lega,8.0
55,2024-04-19,Movimento 5 Stelle,16.5
55,2024-04-19,Azione,3.5
55,2024-04-19,Italia Viva,5.0
55,2024-04-19,Altri,6.0
56,2024-04-17,Partito Democratico,19.5
56,2024-04-17,Forza Italia,8.0
56,2024-04-17,Fratelli d'Italia,27.8
56,2024-04-17,Alleanza Verdi Sinistra,3.3
56,2024-04-17,Lega,8.8
56,2024-04-17,Movimento 5 Stelle,15.6
56,2024-04-17,+Europa,2.55
56,2024-04-17,Azione,3.9
56,2024-04-17,Italia Viva,2.55
56,2024-04-17,Altri,2.4
57,2024-04-16,Partito Democratico,19.4
57,2024-04-16,Forza Italia,8.4
57,2024-04-16,Fratelli d'Italia,27.2
57,2024-04-16,Alleanza Verdi Sinistra,4.1
57,2024-04-16,Lega,8.6
57,2024-04-16,Movimento 5 Stelle,16.0
57,2024-04-16,Azione,4.2
57,2024-04-16,Italia Viva,5.2
57,2024-04-16,Altri,3.7
58,2024-04-15,Partito Democratico,19.8
58,2024-04-15,Forza Italia,10.1
58,2024-04-15,Fratelli d'Italia,27.3
58,2024-04-15,Alleanza Verdi Sinistra,3.7
58,2024-04-15,Lega,7.9
58,2024-04-15,Movimento 5 Stelle,16.2
58,2024-04-15,Azione,3.6
58,2024-04-15,Altri,2.3
59,2024-04-10,Partito Democratico,19.8
59,2024-04-10,Forza Italia,7.8
59,2024-04-10,Fratelli d'Italia,26.9
59,2024-04-10,Alleanza Verdi Sinistra,3.9
59,2024-04-10,Lega,8.8
59,2024-04-10,Movimento 5 Stelle,15.6
59,2024-04-10,Azione,4.0
59,2024-04-10,Altri,5.5
60,2024-04-08,Partito Democratico,19.5
60,2024-04-08,Forza Italia,7.1
60,2024-04-08,Fratelli d'Italia,27.6
60,2024-04-08,Alleanza Verdi Sinistra,3.5
60,2024-04-08,Lega,8.6
60,2024-04-08,Movimento 5 Stelle,15.9
60,2024-04-08,+Europa,2.6
60,2024-04-08,Azione,3.8
60,2024-04-08,Italia Viva,2.9
60,2024-04-08,Altri,3.0
61,2024-04-08,Partito Democratico,20.2
61,2024-04-08,Forza Italia,9.5
61,2024-04-08,Fratelli d'Italia,27.4
61,2024-04-08,Alleanza Verdi Sinistra,4.1
61,2024-04-08,Lega,7.8
61,2024-04-08,Movimento 5 Stelle,15.9
61,2024-04-08,+Europa,2.9
61,2024-04-08,Azione,3.6
61,2024-04-08,Italia Viva,3.2
61,2024-04-08,Altri,5.4
62,2024-04-03,Partito Democratico,20.5
62,2024-04-03,Forza Italia,9.4
62,2024-04-03,Fratelli d'Italia,27.5
62,2024-04-03,Alleanza Verdi Sinistra,4.0
62,2024-04-03,Lega,7.8
62,2024-04-03,Movimento 5 Stelle,15.6
62,2024-04-03,+Europa,3.0
62,2024-04-03,Azione,3.6
62,2024-04-03,Italia Viva,3.2
62,2024-04-03,Altri,5.4
63,2024-04-02,Partito Democratico,19.5
63,2024-04-02,Forza Italia,7.2
63,2024-04-02,Fratelli d'Italia,27.5
63,2024-04-02,Alleanza Verdi Sinistra,3.2
63,2024-04-02,Lega,9.0
63,2024-04-02,Movimento 5 Stelle,16.0
63,2024-04-02,+Europa,2.4
63,2024-04-02,Azione,3.8
63,2024-04-02,Italia Viva,2.8
63,2024-04-02,Altri,3.4
64,2024-03-28,Partito Democratico,20.5
64,2024-03-28,Forza Italia,8.7
64,2024-03-28,Fratelli d'Italia,27.5
64,2024-03-28,Alleanza Verdi Sinistra,3.3
64,2024-03-28,Lega,8.0
64,2024-03-28,Movimento 5 Stelle,16.1
64,2024-03-28,Azione,2.5
64,2024-03-28,Italia Viva,3.3
64,2024-03-28,Altri,6.3
65,2024-03-26,Partito Democratico,19.9
65,2024-03-26,Forza Italia,7.7
65,2024-03-26,Fratelli d'Italia,27.0
65,2024-03-26,Alleanza Verdi Sinistra,4.1
65,2024-03-26,Lega,8.3
65,2024-03-26,Movimento 5 Stelle,15.6
65,2024-03-26,+Europa,2.8
65,2024-03-26,Azione,4.0
65,2024-03-26,Italia Viva,3.4
65,2024-03-26,Altri,2.9
66,2024-03-25,Partito Democratico,19.3
66,2024-03-25,Forza Italia,7.3
66,2024-03-25,Fratelli d'Italia,27.8
66,2024-03-25,Alleanza Verdi Sinistra,3.4
66,2024-03-25,Lega,9.0
66,2024-03-25,Movimento 5 Stelle,15.8
66,2024-03-25,+Europa,2.6
66,2024-03-25,Azione,3.8
66,2024-03-25,Italia Viva,3.0
66,2024-03-25,Altri,3.9
67,2024-03-25,Partito Democratico,20.5
67,2024-03-25,Forza Italia,9.4
67,2024-03-25,Fratelli d'Italia,27.4
67,2024-03-25,Alleanza Verdi Sinistra,4.2
67,2024-03-25,Lega,7.8
67,2024-03-25,Movimento 5 Stelle,15.6
67,2024-03-25,+Europa,2.8
67,2024-03-25,Azione,3.8
67,2024-03-25,Italia Viva,3.3
67,2024-03-25,Altri,5.2
68,2024-03-20,Partito Democratico,19.8
68,2024-03-20,Forza Italia,7.8
68,2024-03-20,Fratelli d'Italia,26.8
68,2024-03-20,Alleanza Verdi Sinistra,4.2
68,2024-03-20,Lega,8.0
68,2024-03-20,Movimento 5 Stelle,15.3
68,2024-03-20,+Europa,2.9
68,2024-03-20,Azione,4.3
68,2024-03-20,Italia Viva,3.2
68,2024-03-20,Altri,5.1
69,2024-03-18,Partito Democratico,19.5
69,2024-03-18,Forza Italia,7.1
69,2024-03-18,Fratelli d'Italia,28.2
69,2024-03-18,Alleanza Verdi Sinistra,3.3
69,2024-03-18,Lega,9.0
69,2024-03-18,Movimento 5 Stelle,15.9
69,2024-03-18,+Europa,2.5
69,2024-03-18,Azione,3.9
69,2024-03-18,Italia Viva,2.8
69,2024-03-18,Altri,3.8
70,2024-03-18,Partito Democratico,20.3
70,2024-03-18,Forza Italia,9.3
70,2024-03-18,Fratelli d'Italia,27.6
70,2024-03-18,Alleanza Verdi Sinistra,4.1
70,2024-03-18,Lega,7.9
70,2024-03-18,Movimento 5 Stelle,15.8
70,2024-03-18,+Europa,2.7
70,2024-03-18,Azione,3.9
70,2024-03-18,Italia Viva,3.2
70,2024-03-18,Altri,5.2
71,2024-03-12,Partito Democratico,19.5
71,2024-03-12,Forza Italia,6.8
71,2024-03-12,Fratelli d'Italia,28.5
71,2024-03-12,Alleanza Verdi Sinistra,3.3
71,2024-03-12,Lega,9.1
71,2024-03-12,Movimento 5 Stelle,16.1
