eu_es,ordinanza_attuale,oc_os,regione,prov,comune,cup,cup_master_unico,intervento_nome,soggetto_attuatore,importo_programmato,fase_di_avanzamento_al_22_dicembre_2024,url_opencup,pro_com_t
EU_1016,OC_109,OC,MARCHE,AP,Acquasanta Terme,,,"Via della Fortezza, 9",Comune di Acquasanta Terme,227400.0,FA_0 - Rup non nominato,,044001
EU_1017,OC_109,OC,MARCHE,AP,Appignano del Tronto,H12J20000090001,,Via G.Massimo 170,Comune di Appignano del Tronto,419608.6,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H12J20000090001,044005
EU_1019,OC_109,OC,MARCHE,AP,Arquata del Tronto,I24J20000030001,,Case Popolari Borgo,Comune di Arquata del Tronto,290981.41,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I24J20000030001,044006
EU_1020,OC_109,OC,MARCHE,AP,Arquata del Tronto,,,Case Popolari Pescara Del Tronto,Comune di Arquata del Tronto,771635.99,FA_1 - Rup nominato e cronoprogramma condiviso,,044006
EU_1021,OC_109,OC,MARCHE,AP,Arquata del Tronto,I24J20000040001,,Case Popolari Piedilama,Comune di Arquata del Tronto,127286.65,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I24J20000040001,044006
EU_1022,OC_109,OC,MARCHE,AP,Arquata del Tronto,I24J20000020002,,Fraz. Trisungo - Ex edificio scolastico,"ERAP Marche - Ente Regionale per L'Abitazione Pubblica",1529091.02,FA_7 - Inizio Lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I24J20000020002,044006
EU_1026,OC_109,OC,MARCHE,AP,Ascoli Piceno,,,Condominio Via Abruzzo,Comune di Ascoli Piceno,273956.0,FA_0 - Rup non nominato,,044007
EU_1027,OC_109,OC,MARCHE,AP,Ascoli Piceno,C32C20005040001,,Ex Caserma Vellei,Comune di Ascoli Piceno,671272.87,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/C32C20005040001,044007
EU_1028,OC_109,OC,MARCHE,AP,Ascoli Piceno,C32C20005050001,,Ex Scuola Di Campolungo,Comune di Ascoli Piceno,525519.41,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/C32C20005050001,044007
EU_1029,OC_109,OC,MARCHE,AP,Ascoli Piceno,C32C20005060001,,Ex Scuola San Martino Lisciano,Comune di Ascoli Piceno,335888.61,FA_0 - Rup non nominato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/C32C20005060001,044007
EU_103,OC_109,OC,ABRUZZO,AQ,Ovindoli,H88G20000060001,,ATER N.681 - Piazza Mazzini n.7,"ATER L'AQUILA",865412.13,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H88G20000060001,066065
EU_1032,OC_109,OC,MARCHE,AP,Ascoli Piceno,H39H20000780008,,Via Spontini N.12,ERAP Marche Presidio di Ancona,154629.8,FA_9 - Collaudo,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H39H20000780008,044007
EU_1034,OC_109,OC,MARCHE,AP,Ascoli Piceno,C32C20005070001,,Villa Rendina,Comune di Ascoli Piceno,662194.8,FA_7 - Inizio Lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/C32C20005070001,044007
EU_1035,OC_109,OC,MARCHE,AP,Castignano,,,,,,FA_4 - Progetto definitivo / pfte approvato,,044012
EU_1036,OC_109,OC,MARCHE,AP,Castignano,,,,,,FA_4 - Progetto definitivo / pfte approvato,,044012
EU_1037,OC_109,OC,MARCHE,AP,Colli del Tronto,D13G20001110001,,Ex-Bigattiera - Via C. Levi,Comune di Colli del Tronto,105154.32,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/D13G20001110001,044014
EU_1039,OC_109,OC,MARCHE,AP,Colli del Tronto,D12J20000160001,,Via Marconi n. 1-2,Comune di Colli del Tronto,314424.01,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/D12J20000160001,044014
EU_104,OC_109,OC,ABRUZZO,AQ,Pizzoli,H64J19000050001,,"ATER n.1763 - Loc. San Lorenzo, via dell'Aquila","ATER L'AQUILA",421200.0,FA_7 - Inizio Lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H64J19000050001,066072
EU_1040,OC_109,OC,MARCHE,AP,Comunanza,B23F20000080001,,Via Antonini 4,Comune di Comunanza,605204.69,FA_2 - Avvio procedure di affidamento contraente per i servizi,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23F20000080001,044015
EU_1041,OC_109,OC,MARCHE,AP,Montegallo,H76I18000080002,,Fraz. Propezzano n. 56,Comune di Montegallo,242081.88,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H76I18000080002,044038
EU_1042,OC_109,OC,MARCHE,AP,Montegallo,H79E18000140002,,Via Monterone,Comune di Montegallo,292515.6,"FA_6 - Avvio procedure per l'aggiudicazione dei lavori",https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H79E18000140002,044038
EU_1043,OC_109,OC,MARCHE,AP,Montemonaco,D41B21003300001,,"Case Popolari In Località Ariconi",Comune di Montemonaco,453903.52,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/D41B21003300001,044044
EU_1044,OC_109,OC,MARCHE,AP,Montemonaco,D44C20000210002,,"Ex Caserma Carabinieri, Case Popolari via Italia",Comune di Montemonaco,350000.0,FA_2 - Avvio procedure di affidamento contraente per i servizi,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/D44C20000210002,044044
EU_1046,OC_109,OC,MARCHE,AP,Venarotta,C62J20000470001,,Ex scuola rurale ristrutturata ad abitazioni,Comune di Venarotta,613607.57,FA_0 - Rup non nominato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/C62J20000470001,044073
EU_1047,OC_109,OC,MARCHE,FM,Fermo,F63B19000280001,,Via Tiziano 13,Comune di Fermo,171474.66,FA_7 - Inizio Lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/F63B19000280001,109006
EU_1048,OC_109,OC,MARCHE,FM,Monsampietro Morico,D38G17000110001,,Corso Umberto I N.41,Comune di Monsampietro Morico,456929.54,FA_7 - Inizio Lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/D38G17000110001,109012
EU_1049,OC_109,OC,MARCHE,FM,Monte Rinaldo,H34G18000010001,,Contrada Aso 14,Comune di Monte Rinaldo,302602.35,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H34G18000010001,109021
EU_105,OC_109,OC,ABRUZZO,PE,Civitella Casanova,B68G20000550005,,ERP-via Pulsoni,COMUNE CIVITELLA CASANOVA,180250.0,FA_7 - Inizio Lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B68G20000550005,068014
EU_1050,OC_109,OC,MARCHE,FM,Monte Rinaldo,H34G18000000001,,Via G. Garibaldi 19,Comune di Monte Rinaldo,136171.06,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H34G18000000001,109021
EU_1051,OC_109,OC,MARCHE,FM,Montegiorgio,E84J20000030005,,Edificio Ex Gentili - Via Cestoni n. 23 27,Comune di Montegiorgio,227456.1,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/E84J20000030005,109017
EU_1052,OC_109,OC,MARCHE,FM,Servigliano,I25C20000010001,,Complesso S.Maria Del Piano - Borgo Leopardi,Comune di Servigliano,484163.76,"FA_6 - Avvio procedure per l'aggiudicazione dei lavori",https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I25C20000010001,109038
EU_1053,OC_109,OC,MARCHE,FM,Torre San Patrizio,B48G20000650001,,Via Cavour n.19,Comune di Torre San Patrizio,150090.76,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B48G20000650001,109040
EU_1054,OC_109,OC,MARCHE,MC,Apiro,H53G20000660001,,Spazio espositivo nella ex chiesa di San Francesco,Comune di Apiro,252168.62,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H53G20000660001,043002
EU_1055,OC_109,OC,MARCHE,MC,Caldarola,B96H17000050005,,Ex Ospedale,Comune di Caldarola,2017348.98,FA_7 - Inizio lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B96H17000050005,043006
EU_1056,OC_109,OC,MARCHE,MC,Camerino,E13B20000310001,,Alloggi ERP Canepina,Comune di Camerino,682857.5,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/E13B20000310001,043007
EU_1057,OC_109,OC,MARCHE,MC,Camerino,E15J18000360001,,Case Popolari Via Vergelli,Comune di Camerino,1169664.59,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/E15J18000360001,043007
EU_1058,OC_109,OC,MARCHE,MC,Camerino,E15J18000380001,,Ex Scuola Morro,Comune di Camerino,325623.67,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/E15J18000380001,043007
EU_1059,OC_109,OC,MARCHE,MC,Camerino,E15B18000640001,,Ex Scuola Polverina,Comune di Camerino,365688.24,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/E15B18000640001,043007
EU_106,OC_109,OC,ABRUZZO,PE,Cugnoli,C94J19000060001,,ERP-CONTRADA FINOCCHIO,COMUNE CUGNOLI,350000.0,FA_7 - Inizio Lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/C94J19000060001,068017
EU_1060,OC_109,OC,MARCHE,MC,Camerino,E15J18000370001,,Ex Scuola Pozzuolo,Comune di Camerino,197632.98,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/E15J18000370001,043007
EU_1061,OC_109,OC,MARCHE,MC,Camerino,B12J20001210001,,Via O. Orazi n.10,"ERAP Marche - Ente Regionale per L'Abitazione Pubblica",1459678.07,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B12J20001210001,043007
EU_1062,OC_109,OC,MARCHE,MC,Camerino,E13B20000320001,,Vicolo delle Fonti,Comune di Camerino,669396.46,FA_0 - Rup non nominato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/E13B20000320001,043007
EU_1063,OC_109,OC,MARCHE,MC,Camporotondo di Fiastrone,C28G21000000001,,Via G.Umberto,Comune di Camporotondo di Fiastrone,100867.45,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/C28G21000000001,043008
EU_1064,OC_109,OC,MARCHE,MC,Castelraimondo,B32B21000030001,,Complesso Azienda Agraria Palanca,REGIONE MARCHE,300000.0,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B32B21000030001,043009
EU_1065,OC_109,OC,MARCHE,MC,Castelraimondo,F39H20000200002,,Via D.Chiesa n. 14,Comune di Castelraimondo,335877.31,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/F39H20000200002,043009
EU_1066,OC_109,OC,MARCHE,MC,Cingoli,B63B20000470001,,Via S. Esuperanzio 3,"ERAP Marche - Ente Regionale per L'Abitazione Pubblica",504337.25,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B63B20000470001,043012
EU_1067,OC_109,OC,MARCHE,MC,Esanatoglia,E13B20000260001,,Via S. Ubaldo n.1,Comune di Esanatoglia,320556.75,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/E13B20000260001,043016
EU_1068,OC_109,OC,MARCHE,MC,Fiastra,F28F20000200003,,Via G. Leopardi 10/12,Comune di Fiastra,317732.46,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/F28F20000200003,043017
EU_1069,OC_109,OC,MARCHE,MC,Fiuminata,I43B20000130001,,Loc. Casenove,Comune di Fiuminata,131127.68,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I43B20000130001,043019
EU_107,OC_109,OC,ABRUZZO,PE,Pescosansonesco,J32F18000130001,,ERP - via Colle della Guardia n.14,COMUNE PESCOSANSONESCO,133770.0,FA_7 - Inizio Lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/J32F18000130001,068029
EU_1070,OC_109,OC,MARCHE,MC,Fiuminata,I43B20000150001,,Loc. Fonte Di Brescia,Comune di Fiuminata,317732.46,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I43B20000150001,043019
EU_1071,OC_109,OC,MARCHE,MC,Fiuminata,I43B20000140001,,Loc. Spindoli 11,Comune di Fiuminata,383296.31,FA_7 - Inizio lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I43B20000140001,043019
EU_1072,OC_109,OC,MARCHE,MC,Gagliole,H53B20000150001,,Via Don Minzoni 19,Comune di Gagliole,108603.99,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/H53B20000150001,043020
EU_1073,OC_109,OC,MARCHE,MC,Gualdo,I63B20000160001,,Via D. Alighieri,Comune di Gualdo,136544.27,"FA_6 - Avvio procedure per l'aggiudicazione dei lavori",https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I63B20000160001,043021
EU_1074,OC_109,OC,MARCHE,MC,Loro Piceno,J73B21000010002,,Largo Cesare Battisti n.5,Comune di Loro Piceno,83266.59,FA_7 - Inizio lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/J73B21000010002,043022
EU_1075,OC_109,OC,MARCHE,MC,Loro Piceno,J73B21000000002,,Vicolo Savini n.5,Comune di Loro Piceno,83266.59,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/J73B21000000002,043022
EU_1076,OC_109,OC,MARCHE,MC,Loro Piceno,,,Via C. Colombo 47,"ERAP Marche - Ente Regionale per L'Abitazione Pubblica",500000.0,FA_2 - Avvio procedure di affidamento contraente per i servizi,,043022
EU_1077,OC_109,OC,MARCHE,MC,Macerata,B83B20000260001,,"Via Dell'Acquedotto 70","ERAP Marche - Ente Regionale per L'Abitazione Pubblica",388036.07,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B83B20000260001,043023
EU_1078,OC_109,OC,MARCHE,MC,Macerata,B83B20000250001,,Via Foscolo 10B,"ERAP Marche - Ente Regionale per L'Abitazione Pubblica",314110.31,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B83B20000250001,043023
EU_1079,OC_109,OC,MARCHE,MC,Macerata,B83B20000270001,,"Via Martiri della Libertà, 28","ERAP Marche - Ente Regionale per L'Abitazione Pubblica",523079.43,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B83B20000270001,043023
EU_108,OC_109,OC,ABRUZZO,PE,Pescosansonesco,J32F18000140001,,Casa comunale - residenziale - via ex Mattatoio,COMUNE PESCOSANSONESCO,102900.0,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/J32F18000140001,068029
EU_1080,OC_109,OC,MARCHE,MC,Macerata,B83B20000280001,,"Via Pavese 64, 66","ERAP Marche - Ente Regionale per L'Abitazione Pubblica",3030224.57,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B83B20000280001,043023
EU_1081,OC_109,OC,MARCHE,MC,Macerata,B83B20000290001,,"Via Tagliamento, 82","ERAP Marche - Ente Regionale per L'Abitazione Pubblica",381215.41,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B83B20000290001,043023
EU_1082,OC_109,OC,MARCHE,MC,Matelica,,,Edilizia Residenziale Pubblica,Comune di Matelica,112366.35,FA_0 - Rup non nominato,,043024
EU_1083,OC_109,OC,MARCHE,MC,Matelica,B93B20000130001,,Via Michelangelo 6,"ERAP Marche - Ente Regionale per L'Abitazione Pubblica",455642.48,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B93B20000130001,043024
EU_1084,OC_109,OC,MARCHE,MC,Monte Cavallo,C34J18000060002,,Loc. Collebianco n. 1,Comune di Monte Cavallo,300000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/C34J18000060002,043027
EU_1085,OC_109,OC,MARCHE,MC,Monte Cavallo,C34J18000070002,,Loc. Collebianco n. 7,Comune di Monte Cavallo,201129.69,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/C34J18000070002,043027
EU_1086,OC_109,OC,MARCHE,MC,Monte Cavallo,C34J18000080002,,Loc. Collebianco n. 8,Comune di Monte Cavallo,190044.36,FA_1 - Rup nominato e cronoprogramma condiviso,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/C34J18000080002,043027
EU_1087,OC_109,OC,MARCHE,MC,Monte Cavallo,C34J18000050002,,"Pantaneto, 19",Comune di Monte Cavallo,310833.13,FA_7 - Inizio lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/C34J18000050002,043027
EU_1088,OC_109,OC,MARCHE,MC,Monte San Giusto,B73B20000240001,,"Sede Comunale con funzioni strategiche - 2° stralcio",Comune di Monte San Giusto,1149990.14,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B73B20000240001,043031
EU_1089,OC_109,OC,MARCHE,MC,Monte San Martino,D89H20000360001,,"Ex Campili, Via Palazzo Vecchio 17-19",Comune di Monte San Martino,655638.42,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/D89H20000360001,043032
EU_109,OC_109,OC,ABRUZZO,PE,Pescosansonesco,J32F18000150001,,Casa Albergo - via San Tommaso,COMUNE PESCOSANSONESCO,679140.0,FA_7 - Inizio Lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/J32F18000150001,068029
EU_1090,OC_109,OC,MARCHE,MC,Muccia,E13B20000270001,,Casa Via Varano,Comune di Muccia,1148880.24,FA_0 - Rup non nominato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/E13B20000270001,043034
EU_1092,OC_109,OC,MARCHE,MC,Muccia,E18G20000200001,,"Condominio Via Clementina, 2 (Misto)",Comune di Muccia,982549.82,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/E18G20000200001,043034
EU_1093,OC_109,OC,MARCHE,MC,Muccia,E14F17000020001,,Condominio Via Spinabello,Comune di Muccia,2553204.25,"FA_6 - Avvio procedure per l'aggiudicazione dei lavori",https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/E14F17000020001,043034
EU_1094,OC_109,OC,MARCHE,MC,Muccia,E18G20000210001,,Edificio Scuriatti,Comune di Muccia,377244.26,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/E18G20000210001,043034
EU_1095,OC_109,OC,MARCHE,MC,Muccia,E17H20002540001,,Ex centrale idroelettrica,Comune di Muccia,364131.49,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/E17H20002540001,043034
EU_1096,OC_109,OC,MARCHE,MC,Muccia,E12J20013200001,,Via Campo Della Fiera,Comune di Muccia,574944.46,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/E12J20013200001,043034
EU_1097,OC_109,OC,MARCHE,MC,Pieve Torina,C51J20000130001,,Edificio Loc. Antico,Comune di Pieve Torina,328323.55,FA_5 - Progetto esecutivo approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/C51J20000130001,043038
EU_1098,OC_109,OC,MARCHE,MC,Pieve Torina,B53B20000140001,,Via Marconi 65,"ERAP Marche - Ente Regionale per L'Abitazione Pubblica",387652.77,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B53B20000140001,043038
EU_1099,OC_109,OC,MARCHE,MC,Pieve Torina,C51I20000030001,,Via Monte Di Giove,Comune di Pieve Torina,342949.33,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/C51I20000030001,043038
EU_110,OC_109,OC,ABRUZZO,PE,San Valentino in Abruzzo Citeriore,F33B20000110001,,Residenziale - Contrada Solcano,COMUNE SAN VALENTINO A.C.,227044.33,FA_7 - Inizio Lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/F33B20000110001,068038
EU_1100,OC_109,OC,MARCHE,MC,Pieve Torina,C51E20000280001,,Via S.Agostino,Comune di Pieve Torina,456626.94,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/C51E20000280001,043038
EU_1107,OC_109,OC,MARCHE,MC,Pioraco,G63B21000020002,,"Via V. Veneto, 6",Comune di Pioraco,146081.89,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/G63B21000020002,043039
EU_1108,OC_109,OC,MARCHE,MC,Pioraco,G63B21000030002,,"Via Varano, 15",Comune di Pioraco,262029.42,FA_7 - Inizio lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/G63B21000030002,043039
EU_1109,OC_109,OC,MARCHE,MC,San Ginesio,G43B20000120001,,Loc. Fiolce,Comune di San Ginesio,403469.8,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/G43B20000120001,043046
EU_111,OC_109,OC,ABRUZZO,PE,San Valentino in Abruzzo Citeriore,F31D18000010003,,Residenziale Contrada Olivuccia - Contr. Olivuccia,COMUNE SAN VALENTINO A.C.,168150.0,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/F31D18000010003,068038
EU_1110,OC_109,OC,MARCHE,MC,San Severino Marche,B52J20001300001,,"Via Zampa, 27","ERAP Marche - Ente Regionale per L'Abitazione Pubblica",643510.12,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B52J20001300001,043047
