n,data_inserimento,partito,valore
1478,2025-03-31,Partito Democratico,21.5
1478,2025-03-31,Forza Italia,8.4
1478,2025-03-31,Fratelli d'Italia,26.6
1478,2025-03-31,Alleanza Verdi Sinistra,6.3
1478,2025-03-31,Lega,9.0
1478,2025-03-31,Movimento 5 Stelle,13.8
1478,2025-03-31,+Europa,2.0
1478,2025-03-31,Azione,2.7
1478,2025-03-31,Italia Viva,2.3
1478,2025-03-31,Altri,6.4
1477,2025-03-31,Partito Democratico,22.4
1477,2025-03-31,Forza Italia,9.3
1477,2025-03-31,Fratelli d'Italia,29.7
1477,2025-03-31,Alleanza Verdi Sinistra,6.2
1477,2025-03-31,Lega,8.4
1477,2025-03-31,Movimento 5 Stelle,12.2
1477,2025-03-31,+Europa,1.8
1477,2025-03-31,Azione,3.6
1477,2025-03-31,Italia Viva,2.4
1477,2025-03-31,Altri,4.0
1476,2025-03-30,Partito Democratico,23.5
1476,2025-03-30,Forza Italia,8.5
1476,2025-03-30,Fratelli d'Italia,28.3
1476,2025-03-30,Alleanza Verdi Sinistra,6.5
1476,2025-03-30,Lega,8.7
1476,2025-03-30,Movimento 5 Stelle,11.6
1476,2025-03-30,+Europa,1.5
1476,2025-03-30,Azione,3.0
1476,2025-03-30,Italia Viva,2.1
1476,2025-03-30,Sud Chiama Nord,0.5
1476,2025-03-30,Altri,6.4
1475,2025-03-30,Partito Democratico,22.1
1475,2025-03-30,Forza Italia,8.7
1475,2025-03-30,Fratelli d'Italia,29.1
1475,2025-03-30,Alleanza Verdi Sinistra,6.4
1475,2025-03-30,Lega,8.7
1475,2025-03-30,Movimento 5 Stelle,11.9
1475,2025-03-30,+Europa,1.9
1475,2025-03-30,Azione,3.0
1475,2025-03-30,Italia Viva,2.3
1475,2025-03-30,Pace Terra Dignità,1.2
1475,2025-03-30,Altri,2.0
1474,2025-03-27,Partito Democratico,22.5
1474,2025-03-27,Forza Italia,11.4
1474,2025-03-27,Fratelli d'Italia,29.7
1474,2025-03-27,Alleanza Verdi Sinistra,6.1
1474,2025-03-27,Lega,8.0
1474,2025-03-27,Movimento 5 Stelle,11.3
1474,2025-03-27,+Europa,1.9
1474,2025-03-27,Azione,2.9
1474,2025-03-27,Italia Viva,2.3
1474,2025-03-27,Altri,3.9
1473,2025-03-18,Partito Democratico,22.7
1473,2025-03-18,Forza Italia,9.1
1473,2025-03-18,Fratelli d'Italia,30.0
1473,2025-03-18,Alleanza Verdi Sinistra,6.3
1473,2025-03-18,Lega,8.0
1473,2025-03-18,Movimento 5 Stelle,12.2
1473,2025-03-18,+Europa,1.9
1473,2025-03-18,Azione,3.5
1473,2025-03-18,Italia Viva,2.2
1473,2025-03-18,Altri,4.1
1472,2025-03-17,Partito Democratico,22.1
1472,2025-03-17,Forza Italia,8.8
1472,2025-03-17,Fratelli d'Italia,29.1
1472,2025-03-17,Alleanza Verdi Sinistra,6.2
1472,2025-03-17,Lega,8.6
1472,2025-03-17,Movimento 5 Stelle,11.7
1472,2025-03-17,+Europa,1.9
1472,2025-03-17,Azione,3.0
1472,2025-03-17,Italia Viva,2.3
1472,2025-03-17,Pace Terra Dignità,1.3
1472,2025-03-17,Altri,2.2
1471,2025-03-16,Partito Democratico,22.3
1471,2025-03-16,Forza Italia,8.7
1471,2025-03-16,Fratelli d'Italia,29.3
1471,2025-03-16,Alleanza Verdi Sinistra,6.2
1471,2025-03-16,Lega,8.8
1471,2025-03-16,Movimento 5 Stelle,11.5
1471,2025-03-16,+Europa,1.9
1471,2025-03-16,Azione,3.0
1471,2025-03-16,Italia Viva,2.4
1471,2025-03-16,Pace Terra Dignità,1.2
1471,2025-03-16,Altri,2.2
1470,2025-03-14,Partito Democratico,22.4
1470,2025-03-14,Forza Italia,11.6
1470,2025-03-14,Fratelli d'Italia,29.8
1470,2025-03-14,Alleanza Verdi Sinistra,6.2
1470,2025-03-14,Lega,8.0
1470,2025-03-14,Movimento 5 Stelle,11.4
1470,2025-03-14,+Europa,1.9
1470,2025-03-14,Azione,2.7
1470,2025-03-14,Italia Viva,2.3
1470,2025-03-14,Altri,3.7
1469,2025-03-14,Partito Democratico,22.2
1469,2025-03-14,Forza Italia,11.5
1469,2025-03-14,Fratelli d'Italia,29.9
1469,2025-03-14,Alleanza Verdi Sinistra,6.2
1469,2025-03-14,Lega,8.0
1469,2025-03-14,Movimento 5 Stelle,11.4
1469,2025-03-14,+Europa,2.0
1469,2025-03-14,Azione,2.8
1469,2025-03-14,Italia Viva,2.2
1469,2025-03-14,Altri,3.8
1468,2025-03-11,Partito Democratico,22.4
1468,2025-03-11,Forza Italia,9.2
1468,2025-03-11,Fratelli d'Italia,30.2
1468,2025-03-11,Alleanza Verdi Sinistra,6.3
1468,2025-03-11,Lega,8.0
1468,2025-03-11,Movimento 5 Stelle,12.4
1468,2025-03-11,+Europa,2.0
1468,2025-03-11,Azione,3.5
1468,2025-03-11,Italia Viva,2.4
1468,2025-03-11,Altri,3.6
1467,2025-03-07,Partito Democratico,22.4
1467,2025-03-07,Forza Italia,11.3
1467,2025-03-07,Fratelli d'Italia,29.8
1467,2025-03-07,Alleanza Verdi Sinistra,6.1
1467,2025-03-07,Lega,8.1
1467,2025-03-07,Movimento 5 Stelle,11.3
1467,2025-03-07,+Europa,2.0
1467,2025-03-07,Azione,2.8
1467,2025-03-07,Italia Viva,2.3
1467,2025-03-07,Altri,3.9
1466,2025-03-04,Partito Democratico,22.5
1466,2025-03-04,Forza Italia,9.4
1466,2025-03-04,Fratelli d'Italia,30.0
1466,2025-03-04,Alleanza Verdi Sinistra,6.5
1466,2025-03-04,Lega,8.3
1466,2025-03-04,Movimento 5 Stelle,12.0
1466,2025-03-04,+Europa,1.8
1466,2025-03-04,Azione,3.4
1466,2025-03-04,Italia Viva,2.6
1466,2025-03-04,Altri,3.5
1465,2025-03-03,Partito Democratico,22.4
1465,2025-03-03,Forza Italia,8.6
1465,2025-03-03,Fratelli d'Italia,29.3
1465,2025-03-03,Alleanza Verdi Sinistra,6.1
1465,2025-03-03,Lega,8.6
1465,2025-03-03,Movimento 5 Stelle,11.6
1465,2025-03-03,+Europa,1.9
1465,2025-03-03,Azione,2.9
1465,2025-03-03,Italia Viva,2.5
1465,2025-03-03,Pace Terra Dignità,1.1
1465,2025-03-03,Altri,2.6
1464,2025-03-03,Partito Democratico,22.6
1464,2025-03-03,Forza Italia,8.2
1464,2025-03-03,Fratelli d'Italia,27.0
1464,2025-03-03,Alleanza Verdi Sinistra,6.0
1464,2025-03-03,Lega,8.1
1464,2025-03-03,Movimento 5 Stelle,13.2
1464,2025-03-03,+Europa,2.2
1464,2025-03-03,Azione,2.3
1464,2025-03-03,Italia Viva,2.3
1464,2025-03-03,Altri,6.9
1463,2025-02-28,Partito Democratico,22.3
1463,2025-02-28,Forza Italia,11.3
1463,2025-02-28,Fratelli d'Italia,29.8
1463,2025-02-28,Alleanza Verdi Sinistra,6.0
1463,2025-02-28,Lega,8.2
1463,2025-02-28,Movimento 5 Stelle,11.3
1463,2025-02-28,+Europa,1.9
1463,2025-02-28,Azione,2.9
1463,2025-02-28,Italia Viva,2.5
1463,2025-02-28,Altri,3.8
1462,2025-02-26,Partito Democratico,23.8
1462,2025-02-26,Forza Italia,8.8
1462,2025-02-26,Fratelli d'Italia,28.9
1462,2025-02-26,Alleanza Verdi Sinistra,6.4
1462,2025-02-26,Lega,8.2
1462,2025-02-26,Movimento 5 Stelle,11.1
1462,2025-02-26,+Europa,1.7
1462,2025-02-26,Azione,2.7
1462,2025-02-26,Italia Viva,2.2
1462,2025-02-26,Pace Terra Dignità,1.4
1462,2025-02-26,Sud Chiama Nord,0.6
1462,2025-02-26,Altri,7.6
1461,2025-02-25,Partito Democratico,22.2
1461,2025-02-25,Forza Italia,9.2
1461,2025-02-25,Fratelli d'Italia,30.2
1461,2025-02-25,Alleanza Verdi Sinistra,6.5
1461,2025-02-25,Lega,8.0
1461,2025-02-25,Movimento 5 Stelle,12.2
1461,2025-02-25,+Europa,1.9
1461,2025-02-25,Azione,3.2
1461,2025-02-25,Italia Viva,2.8
1461,2025-02-25,Altri,3.8
1460,2025-02-24,Partito Democratico,22.3
1460,2025-02-24,Forza Italia,8.7
1460,2025-02-24,Fratelli d'Italia,29.5
1460,2025-02-24,Alleanza Verdi Sinistra,6.3
1460,2025-02-24,Lega,8.6
1460,2025-02-24,Movimento 5 Stelle,11.4
1460,2025-02-24,+Europa,2.0
1460,2025-02-24,Azione,2.8
1460,2025-02-24,Italia Viva,2.4
1460,2025-02-24,Pace Terra Dignità,1.2
1460,2025-02-24,Altri,2.3
1459,2025-02-21,Partito Democratico,22.5
1459,2025-02-21,Forza Italia,11.4
1459,2025-02-21,Fratelli d'Italia,29.6
1459,2025-02-21,Alleanza Verdi Sinistra,5.9
1459,2025-02-21,Lega,8.3
1459,2025-02-21,Movimento 5 Stelle,11.2
1459,2025-02-21,+Europa,2.0
1459,2025-02-21,Azione,2.8
1459,2025-02-21,Italia Viva,2.4
1459,2025-02-21,Altri,3.9
1458,2025-02-18,Partito Democratico,22.0
1458,2025-02-18,Forza Italia,9.3
1458,2025-02-18,Fratelli d'Italia,29.8
1458,2025-02-18,Alleanza Verdi Sinistra,6.6
1458,2025-02-18,Lega,8.2
1458,2025-02-18,Movimento 5 Stelle,11.9
1458,2025-02-18,+Europa,2.1
1458,2025-02-18,Azione,3.1
1458,2025-02-18,Italia Viva,3.0
1458,2025-02-18,Altri,4.0
1457,2025-02-17,Partito Democratico,22.4
1457,2025-02-17,Forza Italia,8.6
1457,2025-02-17,Fratelli d'Italia,29.7
1457,2025-02-17,Alleanza Verdi Sinistra,6.5
1457,2025-02-17,Lega,8.6
1457,2025-02-17,Movimento 5 Stelle,11.3
1457,2025-02-17,+Europa,2.0
1457,2025-02-17,Azione,2.7
1457,2025-02-17,Italia Viva,2.5
1457,2025-02-17,Pace Terra Dignità,1.2
1457,2025-02-17,Altri,2.1
1456,2025-02-17,Partito Democratico,22.7
1456,2025-02-17,Forza Italia,11.3
1456,2025-02-17,Fratelli d'Italia,29.5
1456,2025-02-17,Alleanza Verdi Sinistra,6.0
1456,2025-02-17,Lega,8.4
1456,2025-02-17,Movimento 5 Stelle,11.0
1456,2025-02-17,+Europa,1.9
1456,2025-02-17,Azione,2.7
1456,2025-02-17,Italia Viva,2.5
1456,2025-02-17,Altri,4.0
1455,2025-02-12,Partito Democratico,22.3
1455,2025-02-12,Forza Italia,9.2
1455,2025-02-12,Fratelli d'Italia,29.5
1455,2025-02-12,Alleanza Verdi Sinistra,6.7
1455,2025-02-12,Lega,8.5
1455,2025-02-12,Movimento 5 Stelle,11.8
1455,2025-02-12,+Europa,1.9
1455,2025-02-12,Azione,3.1
1455,2025-02-12,Italia Viva,2.9
1455,2025-02-12,Altri,4.1
1454,2025-02-10,Partito Democratico,22.5
1454,2025-02-10,Forza Italia,8.7
1454,2025-02-10,Fratelli d'Italia,29.5
1454,2025-02-10,Alleanza Verdi Sinistra,6.5
1454,2025-02-10,Lega,8.7
1454,2025-02-10,Movimento 5 Stelle,11.3
1454,2025-02-10,+Europa,2.0
1454,2025-02-10,Azione,2.7
1454,2025-02-10,Italia Viva,2.3
1454,2025-02-10,Pace Terra Dignità,1.1
1454,2025-02-10,Altri,2.3
1453,2025-02-10,Partito Democratico,22.9
1453,2025-02-10,Forza Italia,11.4
1453,2025-02-10,Fratelli d'Italia,29.7
1453,2025-02-10,Alleanza Verdi Sinistra,5.8
1453,2025-02-10,Lega,8.5
1453,2025-02-10,Movimento 5 Stelle,10.8
1453,2025-02-10,+Europa,2.0
1453,2025-02-10,Azione,2.6
1453,2025-02-10,Italia Viva,2.4
1453,2025-02-10,Altri,3.9
1452,2025-02-04,Partito Democratico,22.6
1452,2025-02-04,Forza Italia,9.1
1452,2025-02-04,Fratelli d'Italia,29.5
1452,2025-02-04,Alleanza Verdi Sinistra,6.5
1452,2025-02-04,Lega,8.3
1452,2025-02-04,Movimento 5 Stelle,11.8
1452,2025-02-04,+Europa,2.1
1452,2025-02-04,Azione,3.1
1452,2025-02-04,Italia Viva,2.9
1452,2025-02-04,Altri,4.1
1451,2025-02-03,Partito Democratico,22.4
1451,2025-02-03,Forza Italia,8.5
1451,2025-02-03,Fratelli d'Italia,29.8
1451,2025-02-03,Alleanza Verdi Sinistra,6.4
1451,2025-02-03,Lega,8.5
1451,2025-02-03,Movimento 5 Stelle,11.2
1451,2025-02-03,+Europa,2.0
1451,2025-02-03,Azione,2.8
1451,2025-02-03,Italia Viva,2.3
1451,2025-02-03,Pace Terra Dignità,1.2
1451,2025-02-03,Altri,2.6
1450,2025-02-03,Partito Democratico,22.8
1450,2025-02-03,Forza Italia,11.4
1450,2025-02-03,Fratelli d'Italia,29.7
1450,2025-02-03,Alleanza Verdi Sinistra,5.9
1450,2025-02-03,Lega,8.6
1450,2025-02-03,Movimento 5 Stelle,10.7
1450,2025-02-03,+Europa,1.9
1450,2025-02-03,Azione,2.7
1450,2025-02-03,Italia Viva,2.3
1450,2025-02-03,Altri,4.0
1449,2025-02-03,Partito Democratico,22.8
1449,2025-02-03,Forza Italia,8.5
1449,2025-02-03,Fratelli d'Italia,27.8
1449,2025-02-03,Alleanza Verdi Sinistra,5.8
1449,2025-02-03,Lega,8.5
1449,2025-02-03,Movimento 5 Stelle,12.5
1449,2025-02-03,+Europa,2.0
1449,2025-02-03,Azione,2.0
1449,2025-02-03,Italia Viva,2.5
1449,2025-02-03,Sud Chiama Nord,1.0
1449,2025-02-03,Altri,5.6
1448,2025-01-29,Partito Democratico,24.0
1448,2025-01-29,Forza Italia,9.3
1448,2025-01-29,Fratelli d'Italia,30.0
1448,2025-01-29,Alleanza Verdi Sinistra,6.5
1448,2025-01-29,Lega,8.7
1448,2025-01-29,Movimento 5 Stelle,11.2
1448,2025-01-29,+Europa,1.6
1448,2025-01-29,Azione,2.5
1448,2025-01-29,Italia Viva,2.2
1448,2025-01-29,Altri,9.2
1447,2025-01-28,Partito Democratico,22.8
1447,2025-01-28,Forza Italia,9.1
1447,2025-01-28,Fratelli d'Italia,29.7
1447,2025-01-28,Alleanza Verdi Sinistra,6.5
1447,2025-01-28,Lega,8.4
1447,2025-01-28,Movimento 5 Stelle,11.4
1447,2025-01-28,+Europa,2.0
1447,2025-01-28,Azione,3.2
1447,2025-01-28,Italia Viva,2.8
1447,2025-01-28,Altri,4.1
1446,2025-01-27,Partito Democratico,22.6
1446,2025-01-27,Forza Italia,8.3
1446,2025-01-27,Fratelli d'Italia,29.5
1446,2025-01-27,Alleanza Verdi Sinistra,6.5
1446,2025-01-27,Lega,8.8
1446,2025-01-27,Movimento 5 Stelle,10.9
1446,2025-01-27,+Europa,2.0
1446,2025-01-27,Azione,2.9
1446,2025-01-27,Italia Viva,2.4
1446,2025-01-27,Pace Terra Dignità,1.3
1446,2025-01-27,Sud Chiama Nord,0.4
1446,2025-01-27,Altri,1.9
1445,2025-01-27,Partito Democratico,23.0
1445,2025-01-27,Forza Italia,11.3
1445,2025-01-27,Fratelli d'Italia,29.5
1445,2025-01-27,Alleanza Verdi Sinistra,6.1
1445,2025-01-27,Lega,8.5
1445,2025-01-27,Movimento 5 Stelle,10.6
1445,2025-01-27,+Europa,2.0
1445,2025-01-27,Azione,2.8
1445,2025-01-27,Italia Viva,2.2
1445,2025-01-27,Altri,4.0
1444,2025-01-21,Partito Democratico,22.4
1444,2025-01-21,Forza Italia,9.2
1444,2025-01-21,Fratelli d'Italia,29.5
1444,2025-01-21,Alleanza Verdi Sinistra,6.4
1444,2025-01-21,Lega,8.5
1444,2025-01-21,Movimento 5 Stelle,11.6
1444,2025-01-21,+Europa,2.2
1444,2025-01-21,Azione,3.4
1444,2025-01-21,Italia Viva,2.7
1444,2025-01-21,Altri,4.1
1443,2025-01-20,Partito Democratico,22.8
1443,2025-01-20,Forza Italia,8.3
1443,2025-01-20,Fratelli d'Italia,29.6
1443,2025-01-20,Alleanza Verdi Sinistra,6.6
1443,2025-01-20,Lega,8.6
1443,2025-01-20,Movimento 5 Stelle,11.2
1443,2025-01-20,+Europa,1.9
1443,2025-01-20,Azione,2.8
1443,2025-01-20,Italia Viva,2.3
1443,2025-01-20,Pace Terra Dignità,1.3
1443,2025-01-20,Sud Chiama Nord,0.5
1443,2025-01-20,Altri,1.7
1442,2025-01-20,Partito Democratico,23.1
1442,2025-01-20,Forza Italia,11.5
1442,2025-01-20,Fratelli d'Italia,29.8
1442,2025-01-20,Alleanza Verdi Sinistra,6.0
1442,2025-01-20,Lega,8.6
1442,2025-01-20,Movimento 5 Stelle,10.5
1442,2025-01-20,+Europa,1.9
1442,2025-01-20,Azione,2.7
1442,2025-01-20,Italia Viva,2.1
1442,2025-01-20,Altri,3.8
1441,2025-01-15,Partito Democratico,22.2
1441,2025-01-15,Forza Italia,9.1
1441,2025-01-15,Fratelli d'Italia,29.8
1441,2025-01-15,Alleanza Verdi Sinistra,6.6
1441,2025-01-15,Lega,8.3
1441,2025-01-15,Movimento 5 Stelle,11.6
1441,2025-01-15,+Europa,2.0
1441,2025-01-15,Azione,3.3
1441,2025-01-15,Italia Viva,2.7
1441,2025-01-15,Sud Chiama Nord,1.0
1441,2025-01-15,Altri,3.4
1440,2025-01-13,Partito Democratico,23.1
1440,2025-01-13,Forza Italia,8.2
1440,2025-01-13,Fratelli d'Italia,29.4
1440,2025-01-13,Alleanza Verdi Sinistra,6.5
1440,2025-01-13,Lega,8.6
1440,2025-01-13,Movimento 5 Stelle,11.0
1440,2025-01-13,+Europa,1.8
1440,2025-01-13,Azione,2.6
1440,2025-01-13,Italia Viva,2.3
1440,2025-01-13,Pace Terra Dignità,1.3
1440,2025-01-13,Sud Chiama Nord,0.6
1440,2025-01-13,Altri,6.5
1439,2025-01-13,Partito Democratico,23.3
1439,2025-01-13,Forza Italia,11.5
1439,2025-01-13,Fratelli d'Italia,29.8
1439,2025-01-13,Alleanza Verdi Sinistra,6.1
1439,2025-01-13,Lega,8.8
1439,2025-01-13,Movimento 5 Stelle,10.4
1439,2025-01-13,+Europa,1.8
1439,2025-01-13,Azione,2.6
1439,2025-01-13,Italia Viva,2.0
1439,2025-01-13,Altri,3.7
1438,2025-01-08,Partito Democratico,22.5
1438,2025-01-08,Forza Italia,9.4
1438,2025-01-08,Fratelli d'Italia,29.1
1438,2025-01-08,Alleanza Verdi Sinistra,6.5
1438,2025-01-08,Lega,8.6
1438,2025-01-08,Movimento 5 Stelle,11.4
1438,2025-01-08,+Europa,2.1
1438,2025-01-08,Azione,3.3
1438,2025-01-08,Italia Viva,2.5
1438,2025-01-08,Sud Chiama Nord,1.0
1438,2025-01-08,Altri,4.6
1437,2025-01-02,Partito Democratico,22.5
1437,2025-01-02,Forza Italia,8.1
1437,2025-01-02,Fratelli d'Italia,27.6
1437,2025-01-02,Alleanza Verdi Sinistra,6.0
1437,2025-01-02,Lega,8.6
1437,2025-01-02,Movimento 5 Stelle,13.3
1437,2025-01-02,+Europa,2.3
1437,2025-01-02,Azione,2.0
1437,2025-01-02,Italia Viva,2.0
1437,2025-01-02,Sud Chiama Nord,1.0
1437,2025-01-02,Altri,5.6
1436,2024-12-24,Partito Democratico,22.2
1436,2024-12-24,Forza Italia,9.1
1436,2024-12-24,Fratelli d'Italia,29.1
1436,2024-12-24,Alleanza Verdi Sinistra,6.7
1436,2024-12-24,Lega,8.8
1436,2024-12-24,Movimento 5 Stelle,11.5
1436,2024-12-24,+Europa,1.9
1436,2024-12-24,Azione,3.2
1436,2024-12-24,Italia Viva,2.7
1436,2024-12-24,Sud Chiama Nord,1.0
1436,2024-12-24,Altri,3.8
1435,2024-12-23,Partito Democratico,22.7
1435,2024-12-23,Forza Italia,8.4
1435,2024-12-23,Fratelli d'Italia,29.6
1435,2024-12-23,Alleanza Verdi Sinistra,6.7
1435,2024-12-23,Lega,8.8
1435,2024-12-23,Movimento 5 Stelle,10.6
1435,2024-12-23,+Europa,1.9
1435,2024-12-23,Azione,2.7
1435,2024-12-23,Italia Viva,2.4
1435,2024-12-23,Pace Terra Dignità,1.4
1435,2024-12-23,Sud Chiama Nord,0.6
1435,2024-12-23,Altri,1.6
1434,2024-12-23,Partito Democratico,23.7
1434,2024-12-23,Forza Italia,11.4
1434,2024-12-23,Fratelli d'Italia,28.6
1434,2024-12-23,Alleanza Verdi Sinistra,6.2
1434,2024-12-23,Lega,8.8
1434,2024-12-23,Movimento 5 Stelle,10.7
1434,2024-12-23,+Europa,1.8
1434,2024-12-23,Azione,2.7
1434,2024-12-23,Italia Viva,2.2
1434,2024-12-23,Altri,3.9
1433,2024-12-17,Partito Democratico,24.0
1433,2024-12-17,Forza Italia,9.0
1433,2024-12-17,Fratelli d'Italia,29.5
1433,2024-12-17,Alleanza Verdi Sinistra,6.4
1433,2024-12-17,Lega,8.7
1433,2024-12-17,Movimento 5 Stelle,11.8
1433,2024-12-17,Azione,2.4
1433,2024-12-17,Italia Viva,2.0
1433,2024-12-17,Altri,0.4
1432,2024-12-16,Partito Democratico,23.0
1432,2024-12-16,Forza Italia,8.2
1432,2024-12-16,Fratelli d'Italia,29.5
1432,2024-12-16,Alleanza Verdi Sinistra,6.6
1432,2024-12-16,Lega,9.0
1432,2024-12-16,Movimento 5 Stelle,10.9
1432,2024-12-16,+Europa,1.8
1432,2024-12-16,Azione,2.8
1432,2024-12-16,Italia Viva,2.3
1432,2024-12-16,Pace Terra Dignità,1.3
1432,2024-12-16,Sud Chiama Nord,0.6
1432,2024-12-16,Altri,5.9
1431,2024-12-16,Partito Democratico,23.8
1431,2024-12-16,Forza Italia,11.4
1431,2024-12-16,Fratelli d'Italia,28.7
1431,2024-12-16,Alleanza Verdi Sinistra,6.1
1431,2024-12-16,Lega,8.6
1431,2024-12-16,Movimento 5 Stelle,10.9
1431,2024-12-16,+Europa,1.9
1431,2024-12-16,Azione,2.5
1431,2024-12-16,Italia Viva,2.2
1431,2024-12-16,Altri,3.9
1430,2024-12-10,Partito Democratico,24.2
1430,2024-12-10,Forza Italia,7.8
1430,2024-12-10,Fratelli d'Italia,27.5
1430,2024-12-10,Alleanza Verdi Sinistra,6.0
1430,2024-12-10,Lega,8.6
1430,2024-12-10,Movimento 5 Stelle,11.6
1430,2024-12-10,+Europa,2.0
1430,2024-12-10,Azione,3.5
1430,2024-12-10,Italia Viva,2.1
1430,2024-12-10,Altri,6.7
1429,2024-12-10,Partito Democratico,22.4
1429,2024-12-10,Forza Italia,9.2
1429,2024-12-10,Fratelli d'Italia,28.8
1429,2024-12-10,Alleanza Verdi Sinistra,6.9
1429,2024-12-10,Lega,8.7
1429,2024-12-10,Movimento 5 Stelle,11.5
1429,2024-12-10,+Europa,2.0
1429,2024-12-10,Azione,3.2
1429,2024-12-10,Italia Viva,2.4
1429,2024-12-10,Sud Chiama Nord,1.0
1429,2024-12-10,Altri,3.9
1428,2024-12-09,Partito Democratico,23.6
1428,2024-12-09,Forza Italia,11.3
1428,2024-12-09,Fratelli d'Italia,28.9
1428,2024-12-09,Alleanza Verdi Sinistra,6.2
1428,2024-12-09,Lega,8.5
1428,2024-12-09,Movimento 5 Stelle,10.8
1428,2024-12-09,+Europa,2.0
1428,2024-12-09,Azione,2.4
1428,2024-12-09,Italia Viva,2.3
1428,2024-12-09,Altri,4.0
1427,2024-12-03,Partito Democratico,22.4
1427,2024-12-03,Forza Italia,9.0
1427,2024-12-03,Fratelli d'Italia,29.1
1427,2024-12-03,Alleanza Verdi Sinistra,6.7
1427,2024-12-03,Lega,8.9
1427,2024-12-03,Movimento 5 Stelle,11.7
1427,2024-12-03,+Europa,2.0
1427,2024-12-03,Azione,2.9
1427,2024-12-03,Italia Viva,2.5
1427,2024-12-03,Sud Chiama Nord,1.0
1427,2024-12-03,Altri,4.8
1426,2024-12-02,Partito Democratico,23.4
1426,2024-12-02,Forza Italia,11.4
1426,2024-12-02,Fratelli d'Italia,29.1
1426,2024-12-02,Alleanza Verdi Sinistra,6.1
1426,2024-12-02,Lega,8.6
1426,2024-12-02,Movimento 5 Stelle,10.7
1426,2024-12-02,+Europa,2.1
1426,2024-12-02,Azione,2.5
1426,2024-12-02,Italia Viva,2.2
1426,2024-12-02,Altri,3.9
1425,2024-12-02,Partito Democratico,22.6
1425,2024-12-02,Forza Italia,8.0
1425,2024-12-02,Fratelli d'Italia,27.7
1425,2024-12-02,Alleanza Verdi Sinistra,6.2
1425,2024-12-02,Lega,8.7
1425,2024-12-02,Movimento 5 Stelle,13.0
1425,2024-12-02,+Europa,2.2
1425,2024-12-02,Azione,2.2
