comune,prov,ocos,ocos_label,eues_id,eues_id_norm,regione,cupxall,codice_usr,denominazione_interventoxall,categoria,importo_programmato_esclusi_oc_126,fase_di_avanzamento_al_30_aprile_2026,cod_istat_comune,ordinanza_attuale,fase_id,fase_label,soggetto_attuatore,cf_piva_soggetto_attuatore
Montegallo,AP,OC,Opere comunali,EU_0799,EU_799,MARCHE,H71D18000000001,2795,EDIFICIO CENTRO AGGREGAZIONE,11 - Altre opere pubbliche,580000,FA_3 - Incarico di progettazione affidato,044038,OC_109,FA_3,Incarico di progettazione affidato,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440
Servigliano,FM,OC,Opere comunali,EU_2984,EU_2984,Marche,I22E18000110001,4861,Area verde attrezzata,7 - Edilizia socio sanitaria,42000,FA_9 - Collaudo,109038,OC_48,FA_9,Collaudo,COMUNE DI SERVIGLIANO - ASCOLI PICENO -,81002090447
Pioraco,MC,OS,Opere statali,ES_139,ES_139,MARCHE,I64F22000310001,2484,Acquisto e ristrutturazione per delocalizzazione Alloggi Erap via R. Sanzio 88-90,11 - Altre opere pubbliche,3425282,FA_5 - Progetto esecutivo approvato,043039,OS_41,FA_5,Progetto esecutivo approvato,ENTE REGIONALE PER L'ABITAZIONE PUBBLICA MARCHE,02573290422
Tossicia,TE,OC,Opere comunali,EU_3062,EU_3062,ABRUZZO,I87H20003110001,,Lavori di manutenzione e messa in sicurezza dell'autorimessa per i mezzi della protezione civile,11 - Altre opere pubbliche,62000,FA_9 - Collaudo,067045,OC_104,FA_9,Collaudo,COMUNE DI TOSSICIA - TERAMO -,80000370678
Montecastrilli,TR,OC,Opere comunali,EU_1725,EU_1725,Umbria,J72C21001880005,,Ex Scuola Elementare di Casteltodino,11 - Altre opere pubbliche,250000,FA_3 - Incarico di progettazione affidato,055017,OC_129,FA_3,Incarico di progettazione affidato,COMUNE DI MONTECASTRILLI - TR -,00096090550
Sarnano,MC,OC,Opere comunali,EU_3026,EU_3026,Marche,J77E17000680001,14_016_MAR_012,Scuola primaria G. Leopardi,10 - Scuole,3590646.03,FA_9 - Collaudo,043049,OC_14,FA_9,Collaudo,- COMMISSARIO PER LA RICOSTRUZIONE POST SISMA 2016 - EX ART 11 DPR 9 SETTEMBRE 2016,97914140583
Scheggino,PG,OC,Opere comunali,EU_3101,EU_3101,UMBRIA,J81G20000070005,,"Lavori di realizzazione interventi di valorizzazione delle risorse naturalistiche, ambientali e paesaggistiche del sito naturalistico del sito della Media Val",9 - Opere di urbanizzazione e infrastrutture,60000,FA_9 - Collaudo,054047,OC_104,FA_9,Collaudo,COMUNE DI SCHEGGINO - PERUGIA -,84002810541
Massa Fermana,FM,OC,Opere comunali,EU_0713,EU_713,MARCHE,C23C20000030001,4569,SEDE COMUNALE,8 - Municipi,854000,FA_5 - Progetto esecutivo approvato,109011,OC_109,FA_5,Progetto esecutivo approvato,COMUNE DI MASSA FERMANA - ASCOLI PICENO -,00380940445
Amandola,FM,OC,Opere comunali,EU_0811,EU_811,MARCHE,E27I18000970001,3135,Complesso Chiesa e Chiostro di San Francesco,2 - Chiese ed edifici di culto,3647000,FA_3 - Incarico di progettazione affidato,109002,OC_109,FA_3,Incarico di progettazione affidato,COMUNE DI AMANDOLA - AP -,80001030446
Camporotondo di Fiastrone,MC,OC,Opere comunali,EU_1804,EU_1804,Marche,C28H22000830001,7471,DEMOLIZIONE E RICOSTRUZIONE DELL'EDIFICIO EX MESCHINI E RIQUALIFICAZIONE A FINI SOCIALI,7 - Edilizia socio sanitaria,1050000,FA_4 - Progetto definitivo/PFTE approvato,043008,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI CAMPOROTONDO DI FIASTRONE - MC -,00243720430
Tolentino,MC,OC,Opere comunali,EU_2447,EU_2447,Marche,F27H21005730001,3027,RIPARAZIONE DANNI SISMA E RIPRISTINO DEL CIMITERO DI SANT'ANGELO,3 - Cimiteri,367333.81,FA_7 - Inizio lavori,043053,OC_137,FA_7,Inizio lavori,COMUNE DI TOLENTINO - MC -,83000110433
Fabriano,AN,OC,Opere comunali,EU_2769,EU_2769,MARCHE,F93B19000130004,6390,realizzazione area sosta camper – via veneto (area s. antonio fuori le mura) ( num. Stalli: 7 ),11 - Altre opere pubbliche,65000,FA_6 - Avvio procedure per l'aggiudicazione dei lavori,042017,OC_77,FA_6,Avvio procedure per l'aggiudicazione dei lavori,COMUNE DI FABRIANO - AN -,00155670425
Montefortino,FM,OC,Opere comunali,EU_2949,EU_2949,Marche,B69E18000450002,4855,Centro di aggregazione sociale locali ex farmacia - proprietà comunale,11 - Altre opere pubbliche,42000,FA_9 - Collaudo,109015,OC_48,FA_9,Collaudo,COMUNE DI MONTEFORTINO - AP -,00400660445
Pieve Torina,MC,OC,Opere comunali,EU_2965,EU_2965,Marche,C57B17000120001,1282,Fondazioni scuole - elementare e media Paoletti e materna V. U. Betti,10 - Scuole,302466,FA_9 - Collaudo,043038,OC_48,FA_9,Collaudo,COMUNE DI PIEVE TORINA - MC -,81000190439
Antrodoco,RI,OC,Opere comunali,EU_0206,EU_206,LAZIO,C82B17000190001,P23.0052-0022,Invaso montano in Loc. Cinno,9 - Opere di urbanizzazione e infrastrutture,63927.09,FA_9 - Collaudo,057003,OC_109,FA_9,Collaudo,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE LAZIO,90076740571
Accumoli,RI,OC,Opere comunali,EU_0241,EU_241,LAZIO,C62F18000370001,P23.0052-0057,Cimitero di Cesaventre,3 - Cimiteri,362000,FA_8 - Fine Lavori,057001,OC_109,FA_8,Fine lavori,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE LAZIO,90076740571
Campli,TE,OC,Opere comunali,EU_002541,EU_2541,ABRUZZO,E77H21014030001,ID_N00011,"Consolidamento versante, risagomatura scarpate e ripristino della fruibilità della strada attraverso il rifacimento del piano di sottofondo e della pavimentazione",9 - Opere di urbanizzazione e infrastrutture,200000,FA_5 - Progetto esecutivo approvato,067008,OC_120,FA_5,Progetto esecutivo approvato,COMUNE DI CAMPLI - TERAMO -,80005970670
Teramo,TE,OC,Opere comunali,EU_002601,EU_2601,ABRUZZO,D42H22000240001,ID_N00255,"Parco della Scienza - Padiglione n. 1: ripristino manto di copertura, opere da lattoneria e impianto di condizionamento.",9 - Opere di urbanizzazione e infrastrutture,104798.17,FA_6 - Avvio procedure per l'aggiudicazione dei lavori,067041,OC_120,FA_6,Avvio procedure per l'aggiudicazione dei lavori,COMUNE DI TERAMO - TE -,00174750679
Farindola,PE,OC,Opere comunali,EU_006338,EU_6338,ABRUZZO,C27H25000960002,ID_NR0028,"SP N° 10 Intervento al Km 18+700 lato dx, messa in sicurezza da pericolo frana della sp nel Comune di Farindola - Lotto 2",9 - Opere di urbanizzazione e infrastrutture,500000,FA_1 - Rup nominato e cronoprogramma condiviso,068019,OC_120,FA_1,Rup nominato e cronoprogramma condiviso,AMMINISTRAZIONE PROVINCIALE DI PESCARA,00212850689
Fiastra,MC,OS,Opere statali,ES_127,ES_127,MARCHE,F27H21004860001,,Sottoservizi nella frazione di Boccioni,9 - Opere di urbanizzazione e infrastrutture,705500,FA_1 - Rup nominato e cronoprogramma condiviso,043017,OS_35,FA_1,Rup nominato e cronoprogramma condiviso,COMUNE DI FIASTRA - MACERATA -,81000250431
Macerata,MC,OS,Opere statali,ES_1012,ES_1012,MARCHE,D88E18000510001,,EX SEMINARIO UNIVERSITÀ DI MACERATA,10 - Università,127888,FA_8 - Fine lavori,043023,OS_31,FA_8,Fine lavori,UNIVERSITÀ DEGLI STUDI DI MACERATA,00177050432
Amatrice,RI,OS,Opere statali,ES_500,ES_500,LAZIO,C78E18000380001,P24.0022-0004,Rifacimento ed adeguamento delle opere di urbanizzazione nella frazione di Collegentilesco,9 - Opere di urbanizzazione e infrastrutture,766750,FA_5 - Progetto esecutivo approvato,057002,OS_42,FA_5,Progetto esecutivo approvato,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE LAZIO,90076740571
Amatrice,RI,OS,Opere statali,ES_501,ES_501,LAZIO,C78E18000440001,P24.0022-0005,Rifacimento ed adeguamento delle opere di urbanizzazione nella frazione di Domo,9 - Opere di urbanizzazione e infrastrutture,742500,FA_4 - Progetto definitivo/PFTE approvato,057002,OS_42,FA_4,Progetto definitivo/PFTE approvato,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE LAZIO,90076740571
Amatrice,RI,OS,Opere statali,ES_160,ES_160,LAZIO,E73D21000690001,P25.0015-0003,Centro Servizi del Parco Nazionale - Ostello - Centro Espositivo (Ex Convento di S. Francesco),11 - Altre opere pubbliche,11756237.99,FA_3 - Incarico di progettazione affidato,057002,OS_2,FA_3,Incarico di progettazione affidato,COMUNE DI AMATRICE - RIETI -,00110480571
Torricella Sicura,TE,OS,Opere statali,ES_719,ES_719,ABRUZZO,C61B23000350001,,Realizzazione di nuova viabilità di collegamento e di accesso al parcheggio multipiano esistente,9 - Opere di urbanizzazione e infrastrutture,2420735.1800000002,FA_3 - Incarico di progettazione affidato,067043,OS_53,FA_3,Incarico di progettazione affidato,COMUNE DI TORRICELLA SICURA - TE -,80003050673
Teramo,TE,OS,Opere statali,ES_211,ES_211,ABRUZZO,G43B17000440001,,ERP 498 - via Gelasio Adamoli n.60,5 - Edilizia residenziale pubblica,984197.76,FA_5 - Progetto esecutivo approvato,067041,OS_7,FA_5,Progetto esecutivo approvato,A.T.E.R. DELLA PROVINCIA DI TERAMO,00061800678
Corridonia,MC,OC,Opere comunali,EU_2027,EU_2027,Marche,H99D22000140001,2983,RIPRISTINO FUNZIONALE PALESTRA JUDO - COMPLESSO EX LANZI - STRALCIO,11 - Altre opere pubbliche,150000,FA_8 - Fine lavori,043015,OC_137,FA_8,Fine lavori,COMUNE DI CORRIDONIA - MC -,00182490433
Norcia,PG,OC,Opere comunali,EU_1290,EU_1290,UMBRIA,I54J19000020001,,Loc. Ancarano Capo del Colle - coni detritici,4 - Dissesti,800000,FA_8 - Fine Lavori,054035,OC_109,FA_8,Fine lavori,REGIONE UMBRIA,80000130544
Sant'Anatolia di Narco,PG,OC,Opere comunali,EU_1432,EU_1432,Umbria,I63D22000360005,,Manutenzione straordinaria infrastrutture a rete e strade nel centro abitato della frazione di Castel San Felice,9 - Opere di urbanizzazione e infrastrutture,800000,FA_5 - Progetto esecutivo approvato,054045,OC_129,FA_5,Progetto esecutivo approvato,COMUNE DI SANT'ANATOLIA DI NARCO - PG -,00351780549
Poggio San Vicino,MC,OC,Opere comunali,EU_2072,EU_2072,Marche,I77H21002290005,3204,RIPARAZIONE E MESSA IN SICUREZZA MURA CITTADINE,9 - Opere di urbanizzazione e infrastrutture,670000,FA_3 - Incarico di progettazione affidato,043040,OC_137,FA_3,Incarico di progettazione affidato,COMUNE DI POGGIO SAN VICINO - MACERATA -,00312750433
Sant'Elpidio a Mare,FM,OS,Opere statali,ES_942,ES_942,MARCHE,J13B20000000005,,Palestra capoluogo - PALAZZETTO DELLO SPORT ADIBITO AD USO SCLOASTICO,10 - Scuole (Palestre),1355698,FA_4 - Progetto definitivo/PFTE approvato,109037,OS_31,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI SANT'ELPIDIO A MARE - AP -,81001350446
Sant'Elpidio a Mare,FM,OC,Opere comunali,EU_2349,EU_2349,Marche,J16J23000020002,2976,RECUPERO E RAFFORZAMENTO LOCALE DEI DUE MANUFATTI POSTI ALL'INGRESSO DEL CIVICO CIMITERO DEL COMUNE DI SANT'ELPIDIO A MARE,3 - Cimiteri,230000,FA_3 - Incarico di progettazione affidato,109037,OC_137,FA_3,Incarico di progettazione affidato,COMUNE DI SANT'ELPIDIO A MARE - AP -,81001350446
Arquata del Tronto,AP,OC,Opere comunali,EU_2893,EU_2893,Marche,J28B18000110006,4470,Sede Comunale,8 - Municipi,2150000,FA_8 - Fine lavori,044006,OC_48,FA_8,Fine lavori,COMUNE DI ARQUATA DEL TRONTO - AP -,00353580442
Arquata del Tronto,AP,OC,Opere comunali,EU_0775,EU_775,MARCHE,J28C19000010002,2684,Struttura ricettiva Casa dei due Parchi in frazione Borgo,11 - Altre opere pubbliche,2700000,FA_7 - Inizio lavori,044006,OC_109,FA_7,Inizio lavori,COMUNE DI ARQUATA DEL TRONTO - AP -,00353580442
Valle Castellana,TE,OC,Opere comunali,EU_1585,EU_1585,Abruzzo,J92F21000120001,,Ristrutturazione Generale del Cimitero Danneggiato dal Sisma 2016,3 - Cimiteri,70000,FA_7 - Inizio lavori,067046,OC_129,FA_7,Inizio lavori,COMUNE DI VALLE CASTELLANA - TERAMO -,80006060679
Fermo,FM,OC,Opere comunali,EU_0760,EU_760,MARCHE,F67F19000470001,2912,"MUNICIPIO ""CORPO A"" e ""CORPO B""",8 - Municipi,3793817.92,FA_6 - Avvio procedure per l'aggiudicazione dei lavori,109006,OC_109,FA_6,Avvio procedure per l'aggiudicazione dei lavori,COMUNE DI FERMO - AP -,00334990447
Venarotta,AP,OC,Opere comunali,EU_1046,EU_1046,MARCHE,C62J20000470001,3112,Ex scuola rurale ristrutturata ad abitazioni,5 - Edilizia residenziale pubblica,613607.56999999995,FA_3 - Incarico di progettazione affidato,044073,OC_109,FA_3,Incarico di progettazione affidato,COMUNE DI VENAROTTA - ASCOLI PICENO -,80004310449
Monte Cavallo,MC,OC,Opere comunali,EU_1087,EU_1087,MARCHE,C34J18000050002,4358,"Pantaneto, 19",5 - Edilizia residenziale pubblica,310833.13,FA_8 - Fine lavori,043027,OC_109,FA_8,Fine lavori,COMUNE DI MONTE CAVALLO - MACERATA -,81000130435
Muccia,MC,OC,Opere comunali,EU_1857,EU_1857,Marche,E15G23000000001,2060,"ADEGUAMENTO SISMICO TRAMITE DEMOLIZIONE E RICOSTRUZIONE DEGLI IMMOBILI DENOMINATI ""EX SAM"" COMPOSTI DA UN EDIFICIO ABITATIVO, DUE STALLE E PERTINENZA ABITATIVA CON RIMESSE ATTREZZI E POLLAI",11 - Altre opere pubbliche,3120000,FA_2 - Avvio procedure di affidamento contraente per i servizi,043034,OC_137,FA_2,Avvio procedure di affidamento contraente per i servizi,COMUNE DI MUCCIA - MACERATA -,00263210437
Serrapetrona,MC,OC,Opere comunali,EU_1875,EU_1875,Marche,D96C23000000001,7478,MIGLIORAMENTO/ADEGUAMENTO SISMICO ED EFFICIENTAMENTO ENERGETICO DELL'EX SCUOLA ELEMENTARE DI CACCAMO,11 - Altre opere pubbliche,520000,FA_4 - Progetto definitivo/PFTE approvato,043051,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI SERRAPETRONA - MACERATA -,00265950436
Monsampietro Morico,FM,OC,Opere comunali,EU_1973,EU_1973,Marche,D38H23000300001,7571,"MESSA IN SICUREZZA VERSANTE SUD DEL CENTRO STORICO, SOTTOSTANTE LE MURA DELLA FRAZIONE DI SANT’ELPIDIO MORICO",4 - Dissesti,2700000,FA_3 - Incarico di progettazione affidato,109012,OC_137,FA_3,Incarico di progettazione affidato,COMUNE DI MONSAMPIETRO MORICO - ASCOLI PICENO -,81001450444
Caldarola,MC,OC,Opere comunali,EU_2136,EU_2136,Marche,B97G21000160001,7361,INTERVENTI DI RIQUALIFICAZIONE E RIGENERAZIONE URBANA DELL'AREA DI COLLEGAMENTO DI VIA FALERIENSE CON VIA FIORENZUOLA - II STRALCIO - Progettazione,12 - Solo Progettazione,40000,FA_3 - Incarico di progettazione affidato,043006,OC_137,FA_3,Incarico di progettazione affidato,COMUNE DI CALDAROLA - MACERATA -,00217240431
Pieve Torina,MC,OC,Opere comunali,EU_2157,EU_2157,Marche,C57H21003880001,5307,"RIPRISTINO RETE IDRICA, FOGNARIA, PUBBLICA ILLUMINAZIONE E STRADALE IN CORRSIPONDENZA DI EDIFICI CROLLATI O PESANTEMENTE LESIONATI NELLA FRAZIONE DI GABBANO - Progettazione",12 - Solo Progettazione,160000,FA_4 - Progetto definitivo/PFTE approvato,043038,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI PIEVE TORINA - MC -,81000190439
Rotella,AP,OC,Opere comunali,EU_2311,EU_2311,Marche,C74H23000120003,3220,CONSOLIDAMENTO DEL MURO DI CINTA LESIONATI E DEFORMATI DEL CIMITERO DEL CAPOLUOGO,3 - Cimiteri,1000000,FA_3 - Incarico di progettazione affidato,044065,OC_137,FA_3,Incarico di progettazione affidato,COMUNE DI ROTELLA - AP -,00358230449
Sellano,PG,OC,Opere comunali,EU_1698,EU_1698,Umbria,E99H17000120006,,Plesso Polifunzionale (Ripristino dei condotti del teleriscaldamento e degli altri impianti interessati dal danno a partire dal locale tecnico dell'edificio fino alle varie zone interessate dal danno od eventuale individuazione di nuovo percorso.),11 - Altre opere pubbliche,107612,FA_1 - Rup nominato e cronoprogramma condiviso,054048,OC_129,FA_1,Rup nominato e cronoprogramma condiviso,COMUNE DI SELLANO - PERUGIA -,00470120544
Cittareale,RI,OC,Opere comunali,EU_0221,EU_221,LAZIO,C46J17000630001,P23.0052-0038,Depuratore Comunale,9 - Opere di urbanizzazione e infrastrutture,220000,FA_8 - Fine Lavori,057017,OC_109,FA_8,Fine lavori,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE LAZIO,90076740571
Amatrice,RI,OC,Opere comunali,EU_0356,EU_356,LAZIO,F74J20000010005,P23.0052-0169,RECUPERO DELLA CHIESA DELL'OSPEDALE GRIFONI,9 - Opere di urbanizzazione e infrastrutture,2000000,FA_4 - Progetto definitivo/PFTE approvato,057002,OC_109,FA_4,Progetto definitivo/PFTE approvato,REGIONE LAZIO,80143490581
Cittareale,RI,OC,Opere comunali,EU_1390,EU_1390,Lazio,C46J23000030001,P23.0047-0044,"Sede Comunale, Museo Tito Flavio Vespasiano e Museo Arti e Tradizioni Popolari",8 - Municipi,2190549,FA_3 - Incarico di progettazione affidato,057017,OC_129,FA_3,Incarico di progettazione affidato,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE LAZIO,90076740571
Amatrice,RI,OS,Opere statali,ES_441,ES_441,LAZIO,C78E18000610001,P24.0022-0059,Rifacimento ed adeguamento delle opere di urbanizzazione nella frazione Pinaco-Arafranca,9 - Opere di urbanizzazione e infrastrutture,2000000,FA_2 - Avvio procedure di affidamento contraente per i servizi,057002,OS_42,FA_2,Avvio procedure di affidamento contraente per i servizi,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE LAZIO,90076740571
Amatrice,RI,OS,Opere statali,ES_465,ES_465,LAZIO,E77H23003260001,P23.0089-0053,Strada comunale Macchie Piane,9 - Opere di urbanizzazione e infrastrutture,1350000,FA_1 - Rup nominato e cronoprogramma condiviso,057002,OS_42,FA_1,Rup nominato e cronoprogramma condiviso,COMUNE DI AMATRICE - RIETI -,00110480571
Teramo,TE,OS,Opere statali,ES_570,ES_570,ABRUZZO,D41B21002720001,,"Scuola dell’Infanzia e Primaria ""C. Sarti""",10 - Scuole,2170513,FA_2 - Avvio procedure di affidamento contraente per i servizi,067041,OS_31,FA_2,Avvio procedure di affidamento contraente per i servizi,COMUNE DI TERAMO - TE -,00174750679
Spoleto,PG,OS,Opere statali,ES_813,ES_813,UMBRIA,B39H18000200002,,Scuola materna di S. Giovanni di Baiano,10 - Scuole,1109218.05,FA_7 - Inizio Lavori,054051,OS_31,FA_7,Inizio lavori,COMUNE DI SPOLETO - PG -,00316820547
Teramo,TE,OS,Opere statali,ES_223,ES_223,ABRUZZO,G44J18000950001,,"ERP 610 - fraz. Villa Gesso , via Medoro Mazza n.3",5 - Edilizia residenziale pubblica,715967,FA_5 - Progetto esecutivo approvato,067041,OS_7,FA_5,Progetto esecutivo approvato,A.T.E.R. DELLA PROVINCIA DI TERAMO,00061800678
Crognaleto,TE,OC,Opere comunali,EU_1338,EU_1338,Abruzzo,G47H21048400001,,Consolidamento versante di valle e messa in pristino strada comunale del Catagnone,9 - Opere di urbanizzazione e infrastrutture,1000000,FA_7 - Inizio lavori,067023,OC_129,FA_7,Inizio lavori,COMUNE DI CROGNALETO - TERAMO -,80004590677
Ascoli Piceno,AP,OS,Opere statali,ES_964,ES_964,MARCHE,I38E18000340001,,Scuola regionale di formazione anche succursale IPSIA,10 - Scuole,1310000,FA_6 - Avvio procedure per l'aggiudicazione dei lavori,044007,OS_31,FA_6,Avvio procedure per l'aggiudicazione dei lavori,AMMINISTRAZIONE PROVINCIALE DI ASCOLI PICENO,01116550441
San Severino Marche,MC,OS,Opere statali,ES_872,ES_872,MARCHE,I56B19000730001,,"ASILO NIDO COMUNALE, SCUOLA MATERNA VIRGILIO UFFICIO SERVIZI SOCIALI",10 - Scuole,2660784,FA_2 - Avvio procedure di affidamento contraente per i servizi,043047,OS_31,FA_2,Avvio procedure di affidamento contraente per i servizi,COMUNE DI SAN SEVERINO MARCHE - MC -,00119580439
Sant'Anatolia di Narco,PG,OC,Opere comunali,EU_3750,EU_3750,UMBRIA,I63D22000370005,,Infrastrutture a rete e stradale centro abitato Fraz. Grotti,9 - Opere di urbanizzazione e infrastrutture,900000,FA_1 - Rup nominato e cronoprogramma condiviso,054045,OC_263,FA_1,Rup nominato e cronoprogramma condiviso,COMUNE DI SANT'ANATOLIA DI NARCO - PG -,00351780549
Antrodoco,RI,OC,Opere comunali,EU_3068,EU_3068,LAZIO,I85F21003810001,,Manutenzione straordinaria per la messa in sicurezza della strada comunale per Rocca di Fondi e della viabilità interna del capoluogo,9 - Opere di urbanizzazione e infrastrutture,156751.07,FA_7 - Inizio Lavori,057003,OC_104,FA_7,Inizio lavori,COMUNE DI ANTRODOCO - RIETI -,00103110573
Spoleto,PG,OS,Opere statali,ES_660,ES_660,UMBRIA,J39J21008620001,,"ITCG ""Spagna"" - Edificio principale",10 - Scuole,14683000,FA_3 - Incarico di progettazione affidato,054051,OS_31,FA_3,Incarico di progettazione affidato,AMMINISTRAZIONE PROVINCIALE DI PERUGIA,00443770540
Cantalice,RI,OC,Opere comunali,EU_1374,EU_1374,Lazio,J57H21007150001,P23.0047-0028,Dissesto idrogeologico loc. Pagliaccio,4 - Dissesti,600000,FA_5 - Progetto esecutivo approvato,057009,OC_129,FA_5,Progetto esecutivo approvato,COMUNE DI CANTALICE - RIETI -,00093840577
Valle Castellana,TE,OC,Opere comunali,EU_003491,EU_3491,ABRUZZO,J92H23001850002,ID_N00278,Riparazione impianto fotovoltaico della palestra comunale,11 - Altre opere pubbliche,210000,FA_1 - Rup nominato e cronoprogramma condiviso,067046,OC_120,FA_1,Rup nominato e cronoprogramma condiviso,COMUNE DI VALLE CASTELLANA - TERAMO -,80006060679
Castelsantangelo sul Nera,MC,OC,Opere comunali,EU_0855,EU_855,MARCHE,F48C19000030001,1846,CIMITERO VIA ROMA,3 - Cimiteri,1259700,FA_8 - Fine lavori,043010,OC_109,FA_8,Fine lavori,COMUNE DI CASTELSANTANGELO SUL NERA - MACERATA -,00242630432
Ussita,MC,OC,Opere comunali,EU_0923,EU_923,MARCHE,C54F20000010002,5387,"Cabina elettrica partenza seggiovia ""Ginepro"" (LOTTO 8 IMPIANTI SCIISTICI)",11 - Altre opere pubbliche,142785.62,FA_9 - Collaudo,043056,OC_109,FA_9,Collaudo,COMUNE DI USSITA - MC -,81001810431
Monte San Vito,AN,OC,Opere comunali,EU_2239,EU_2239,Marche,F46C23000010002,2657,Palazzo Malatesta – Torre civica,8 - Municipi,370000,FA_3 - Incarico di progettazione affidato,042030,OC_137,FA_3,Incarico di progettazione affidato,COMUNE DI MONTE SAN VITO - AN -,00182280420
Acquasanta Terme,AP,OC,Opere comunali,EU_2248,EU_2248,Marche,F66J21000030001,7673,RECUPERO DEL CIMITERO DEL CAPOLUOGO,3 - Cimiteri,1900000,FA_6 - Avvio procedure per l'aggiudicazione dei lavori,044001,OC_137,FA_6,Avvio procedure per l'aggiudicazione dei lavori,COMUNE DI ACQUASANTA TERME - AP -,00356080440
Montefalcone Appennino,FM,OC,Opere comunali,EU_2332,EU_2332,Marche,F59C22000200007,5354,RESTAURO E MIGLIORAMENTO SISMICO LOGGIATO STORICO E INTERCLUSA CAPPELLINA LATO NORD EST DEL CIVICO CIMITERO,3 - Cimiteri,800000,FA_4 - Progetto definitivo/PFTE approvato,109014,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI MONTEFALCONE APPENNINO - ASCOLI PICENO -,00357180447
Fiastra,MC,OC,Opere comunali,EU_2390,EU_2390,Marche,F22C21000270001,7721,"LAVORI DI RIPARAZIONE DANNI E MIGLIORAMENTO SISMICO DEI LOCULI CIMITERIALI, DELLE MURA PERMITRALI E DELLA CHIESA LESIONATI DAL SISMA DEL 2016 E SUCCESSIVI NEL CIMITERO DI FIEGNI",3 - Cimiteri,450000,FA_4 - Progetto definitivo/PFTE approvato,043017,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI FIASTRA - MACERATA -,81000250431
Montefalcone Appennino,FM,OC,Opere comunali,EU_2948,EU_2948,Marche,F54F18000380001,4854,Interventi di recupero e valorizzazione area località Tiro a segno,11 - Altre opere pubbliche,42000,FA_9 - Collaudo,109014,OC_48,FA_9,Collaudo,COMUNE DI MONTEFALCONE APPENNINO - ASCOLI PICENO -,00357180447
Offida,AP,OC,Opere comunali,EU_2960,EU_2960,Marche,C55F18000020006,4841,Ristrutturazione teatro Serpente Aureo,11 - Altre opere pubbliche,42000,FA_9 - Collaudo,044054,OC_48,FA_9,Collaudo,COMUNE DI OFFIDA - ASCOLI PICENO -,00136120441
Arrone,TR,OC,Opere comunali,EU_1721,EU_1721,Umbria,F45F21000840001,,Lavori di messa in sicurezza tratti di pareti rocciose della SP 4 Arronese,9 - Opere di urbanizzazione e infrastrutture,607000,FA_3 - Incarico di progettazione affidato,055005,OC_129,FA_3,Incarico di progettazione affidato,AMMINISTRAZIONE PROVINCIALE DI TERNI,00179350558
Spoleto,PG,OC,Opere comunali,EU_3760,EU_3760,UMBRIA,B32C21001510001,,Chiesa dei SS. Giovanni e Paolo,2 - Chiese ed edifici di culto,380000,FA_1 - Rup nominato e cronoprogramma condiviso,054051,OC_263,FA_1,Rup nominato e cronoprogramma condiviso,COMUNE DI SPOLETO - PG -,00316820547
Accumoli,RI,OC,Opere comunali,EU_0248,EU_248,LAZIO,C62H18000910001,P23.0052-0064,Opere di Urbanizzazione frazione Villanova,9 - Opere di urbanizzazione e infrastrutture,816250,FA_4 - Progetto definitivo/PFTE approvato,057001,OC_109,FA_4,Progetto definitivo/PFTE approvato,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE LAZIO,90076740571
Accumoli,RI,OC,Opere comunali,EU_0257,EU_257,LAZIO,C62H18000960001,P23.0052-0073,Opere di Urbanizzazione frazione Poggio Casoli,9 - Opere di urbanizzazione e infrastrutture,290080,FA_4 - Progetto definitivo/PFTE approvato,057001,OC_109,FA_4,Progetto definitivo/PFTE approvato,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE LAZIO,90076740571
Bisenti,TE,OC,Opere comunali,EU_3684,EU_3684,ABRUZZO,C61B21007330001,,Nuovo COC da delocalizzare,8 - Municipi,602545.5,FA_3 - Incarico di progettazione affidato,067007,OC_250,FA_3,Incarico di progettazione affidato,COMUNE DI BISENTI - TE -,00195310677
