cf_piva_soggetto_attuatore,cod_ipa,denominazione_ipa,pec,fonte_ipa
00113410575,c_a981,Comune di Borbona,borbona@pec.comune.borbona.rieti.it,domicili digitali
00113430573,c_a019,Comune di Accumoli,comune.accumoli@pec.it,domicili digitali
00113670574,c_f193,Comune di Micigliano,comune.micigliano.ri@legalmail.it,domicili digitali
00114510571,p_ri,Provincia di Rieti,urp.provinciarieti@pec.it,domicili digitali
00114600422,c_f453,Comune di Montecarotto,comune.montecarotto@emarche.it,domicili digitali
00115590671,a4_te,Azienda Sanitaria Locale N. 4 di Teramo,aslteramo@raccomandata.eu,domicili digitali
00116600438,c_c251,Comune di Castelraimondo,comunecastelraimondo@pec.it,domicili digitali
00119580439,c_i158,Comune di San Severino Marche,protocollo.comune.sanseverinomarche@pec.it,domicili digitali
00121000699,c_f196,Comune di Miglianico,miglianico@pec.it,domicili digitali
00121280572,c_d560,Comune di Fiamignano,comunedifiamignano@pec.it,domicili digitali
00122200579,c_i499,Comune di Scandriglia,ufftecnico@pec.comune.scandriglia.ri.it,domicili digitali
00122890577,c_c749,Comune di Cittareale,comune.cittareale@pec.it,domicili digitali
00123930570,c_g934,Comune di Posta,segreteria.posta.ri@legalmail.it,domicili digitali
00125720433,c_f632,Comune di Potenza Picena,comune.potenzapicena@emarche.it,domicili digitali
00129810438,c_c704,Comune di Cingoli,protocollo@pec.comune.cingoli.mc.it,domicili digitali
00130350424,c_i251,Comune di Santa Maria Nuova,comune.santamarianuova@emarche.it,domicili digitali
00132100439,c_f749,Comune di Morrovalle,comune.morrovalle.mc@legalmail.it,domicili digitali
00132110438,c_f552,Comune di Montelupone,comune.montelupone.mc@legalmail.it;suap@pec.comune.montelupone.mc.it,domicili digitali
00134550433,c_f621,Comune di Monte San Giusto,protocollo@pec.comune.montesangiusto.mc.it,domicili digitali
00136120441,c_g005,Comune di Offida,fabio.menzietti@pec.comune.offida.ap.it;riccardo.tarquini@pec.comune.offida.ap.it;protocollo@pec.comune.offida.ap.it;ornella.nespeca@pec.comune.offida.ap.it;dario.giudici@pec.comune.offida.ap.it,domicili digitali
00137890430,c_f496,Comune di Montefano,suap@pec.comune.montefano.mc.it;comune@pec.comune.montefano.mc.it;fatturaelettronica@pec.comune.montefano.mc.it,domicili digitali
00138790431,c_l366,Comune di Treia,protocollo@pec.comune.treia.mc.it,domicili digitali
00140670431,c_i436,Comune di Sarnano,comune.sarnano@pec.it,domicili digitali
00146060413,c_b352,Comune di Cagli,comune.cagli@emarche.it,domicili digitali
00148360662,c_a656,Comune di Barete,comune.barete.aq@legalmail.it,domicili digitali
00149620692,c_g141,Comune di Ortona,protocollo@pec.comune.ortona.ch.it,domicili digitali
00155670425,c_d451,Comune di Fabriano,protocollo@pec.comune.fabriano.an.it,domicili digitali
00157980442,tspa,Tennacola Spa,infotennacola@pec.it,domicili digitali
00158390419,c_b636,Comune di Cantiano,comune.cantiano@emarche.it,domicili digitali
00163570542,c_g478,Comune di Perugia,comune.perugia@postacert.umbria.it,domicili digitali
00164280661,c_b658,Comune di Capitignano,protocollo@pec.comune.capitignano.aq.it,domicili digitali
00166560425,c_c615,Comune di Chiaravalle,info@pec.comune.chiaravalle.an.it,domicili digitali
00166560540,c_d653,Comune di Foligno,comune.foligno@postacert.umbria.it,domicili digitali
00169080439,c_d429,Comune di Esanatoglia,comune.esanatoglia@emarche.it,domicili digitali
00169370442,c_e807,Comune di Magliano di Tenna,info@pec.comune.maglianoditenna.fm.it,domicili digitali
00170370688,c_a945,Comune di Bolognano,protocollo@pec.comunebolognano.it,domicili digitali
00172960429,c_i461,Comune di Sassoferrato,comune.sassoferrato@emarche.it,domicili digitali
00173630674,c_l307,Comune di Tortoreto,comune@tortoretopec.it,domicili digitali
00174750679,c_l103,Comune di Teramo,affarigenerali@comune.teramo.pecpa.it,domicili digitali
00175660554,c_l117,Comune di Terni,comune.terni@postacert.umbria.it,domicili digitali
00176320422,c_a626,Comune di Barbara,comune.barbara@emarche.it,domicili digitali
00177050432,UNSTU_MC,Universita' Degli Studi di Macerata,ateneo@pec.unimc.it,domicili digitali
00177650553,c_g189,Comune di Otricoli,comune.otricoli@postacert.umbria.it,domicili digitali
00178250551,c_g790,Comune di Polino,comune.polino@postacert.umbria.it,domicili digitali
00179190558,c_e045,Comune di Giove,comune.giove@postacert.umbria.it,domicili digitali
00179200555,c_g432,Comune di Penna In Teverina,comune.pennainteverina@postacert.umbria.it;comune.pennainteverina@pec.it,domicili digitali
00179350558,p_tr,Provincia di Terni,provincia.terni@postacert.umbria.it,domicili digitali
00179510672,c_c169,Comune di Castelli,protocollo@pec.comune.castelli.te.it,domicili digitali
00180280554,c_e241,Comune di Guardea,suape.guardea@pec.oxygenwireless.net;comune.guardea@postacert.umbria.it,domicili digitali
00180530552,c_a242,Comune di Alviano,comune.alviano@postacert.umbria.it,domicili digitali
00181710427,c_f381,Comune di Monsano,comune.monsano@emarche.it,domicili digitali
00182280420,c_f634,Comune di Monte San Vito,protocollo@pec.comune.montesanvito.an.it,domicili digitali
00182380428,c_i653,Comune di Serra San Quirico,protocollo.serrasanquirico@emarche.it,domicili digitali
00182490433,c_d042,Comune di Corridonia,comunecorridonia@pec.it,domicili digitali
00183860667,c_i546,Comune di Scoppito,comunediscoppito@pecpa.it;cucscoppito@viapec.net,domicili digitali
00184460426,c_f745,Comune di Morro D'Alba,comune.morrodalba@legalmail.it;suap.comune.morrodalba@legalmail.it,domicili digitali
00185360435,c_e694,Comune di Loro Piceno,comune.loropiceno.mc@legalmail.it,domicili digitali
00185520426,c_a769,Comune di Belvedere Ostrense,segreteria.belvedere@emarche.it;suap.belvedere@emarche.it,domicili digitali
00185990553,c_i381,Comune di San Venanzo,comune.sanvenanzo@postacert.umbria.it,domicili digitali
00188910665,c_f852,Comune di Navelli,comune.navelli@pec.mailcert.info,domicili digitali
00188950422,c_e837,Comune di Maiolati Spontini,comune.maiolatispontini@emarche.it,domicili digitali
00190300665,c_b256,Comune di Bugnara,comunebugnara@pec.arc.it,domicili digitali
00192970689,c_L263,Comune di Torre De' Passeri,torredepasseri@pec.comune.torredepasseri.pe.it,domicili digitali
00193620424,c_i932,Comune di Staffolo,comunestaffolo@pec.net,domicili digitali
00195310677,c_a885,Comune di Bisenti,protocollo@pec.comune.bisenti.te.it,domicili digitali
00195720677,c_c316,Comune di Castiglione Messer Raimondo,protocollo@pec.comune.castiglione.te.it,domicili digitali
00196710420,c_d965,Comune di Genga,sindaco@pec.comunedigenga.it,domicili digitali
00208390427,c_d211,Comune di Cupramontana,comune.cupramontana@emarche.it,domicili digitali
00210940433,c_i569,Comune di Sefro,comune.sefro.mc@emarche.it;comune.sefro.ragioneria@emarche.it;comune.sefro.tecnico@emarche.it,domicili digitali
00212000418,p_PU,Provincia di Pesaro e Urbino,provincia.pesarourbino@legalmail.it,domicili digitali
00212050678,c_a746,Comune di Bellante,protocollo@pec.comune.bellante.te.it,domicili digitali
00212850689,p_pe,Provincia di Pescara,provincia.pescara@legalmail.it,domicili digitali
00215270430,c_h876,Comune di San Ginesio,protocollo@pec.comune.sanginesio.mc.it,domicili digitali
00216210666,c_c783,Comune di Civitella Roveto,info@pec.comune.civitella-roveto.aq.it;ragioneria@pec.comune.civitella-roveto.aq.it,domicili digitali
00217240431,c_b398,Comune di Caldarola,comune.caldarola.mc@legalmail.it,domicili digitali
00218260446,c_f522,Comune di Montegranaro,tributi@pec.comune.montegranaro.fm.it;cultura@pec.comune.montegranaro.fm.it;urbanistica@pec.comune.montegranaro.fm.it;pmcomando@pec.comune.montegranaro.fm.it;elettorale@pec.comune.montegranaro.fm.it;ragioneria@pec.comune.montegranaro.fm.it;llpp@pec.comune.montegranaro.fm.it;anagrafe@pec.comune.montegranaro.fm.it,domicili digitali
00218320430,c_f454,Comune di Montecassiano,comune.montecassiano@emarche.it,domicili digitali
00221260433,c_g690,Comune di Pioraco,comune.pioraco.mc@legalmail.it,domicili digitali
00221280688,c_g621,Comune di Pietranico,comune.pietranico@pec.it,domicili digitali
00221990682,C_d394,Comune di Elice,postacert@pec.comune.elice.pe.it,domicili digitali
00222390544,c_d279,Comune di Deruta,comune.deruta@postacert.umbria.it,domicili digitali
00224000430,c_f567,Comune di Pollenza,suap@pec.comune.pollenza.mc.it;comune.pollenza.mc@legalmail.it,domicili digitali
00224710681,c_g438,Comune di Penne,protocollo@pec.comune.penne.pe.it,domicili digitali
00225910686,c_g555,Comune di Pianella,protocollo@pec.comune.pianella.pe.it,domicili digitali
00228640686,c_c779,Comune di Civitella Casanova,civitellacas.protocollo@pec-comuni.it,domicili digitali
00229010442,c_a462,Comune di Ascoli Piceno,comune.ap@pec.it,domicili digitali
00230400681,c_g589,Comune di Picciano,comunepicciano@legalmail.it,domicili digitali
00231350687,c_d501,Comune di Farindola,finanze.farindola@pec.it,domicili digitali
00242630432,c_c267,Comune di Castelsantangelo Sul Nera,protocollo@pec.comune.castelsantangelosulnera.mc.it,domicili digitali
00242710432,c_c582,Comune di Cessapalombo,comune.cessapalombo.mc@legalmail.it,domicili digitali
00243720430,c_b562,Comune di Camporotondo di Fiastrone,comune.camporotondodifiastrone@legalmail.it,domicili digitali
00244400438,c_f268,Comune di Mogliano,suap@pec.comune.mogliano.mc.it;info@pec.comune.mogliano.mc.it,domicili digitali
00248560690,c_g271,Comune di Palena,comunedipalena@pec.it,domicili digitali
00251860698,c_b238,Comune di Bucchianico,protocollo.bucchianico@pec.it,domicili digitali
00252920699,c_g294,Comune di Palombaro,comunepalombaro@servercertificato.it,domicili digitali
00254240682,c_e558,Comune di Lettomanoppello,ufficio.finanziario@pec.lettomanoppello.eu,domicili digitali
00262470438,c_c770,Comune di Civitanova Marche,comune.civitanovamarche@pec.it,domicili digitali
00263210437,c_F793,Comune di Muccia,protocollo@pec.comune.muccia.mc.it,domicili digitali
00264420431,c_l501,Comune di Urbisaglia,fatturazione@pec.comune.urbisaglia.mc.it,domicili digitali
00265950436,c_i651,Comune di Serrapetrona,comune.serrapetrona.mc@legalmail.it,domicili digitali
00266030436,c_d628,Comune di Fiuminata,comune.fiuminata.mc@legalmail.it,domicili digitali
00267160430,c_c886,Comune di Colmurano,protocollo@pec.comune.colmurano.mc.it,domicili digitali
00267220432,c_h323,Comune di Ripe San Ginesio,comune.ripesanginesio.mc@legalmail.it,domicili digitali
00268590437,c_d853,Comune di Gagliole,protocollo@pec.comune.gagliole.mc.it,domicili digitali
00269440434,c_a739,Comune di Belforte del Chienti,prot@pec.comune.belfortedelchienti.mc.it,domicili digitali
00276830437,c_b474,Comune di Camerino,protocollo@pec.comune.camerino.mc.it,domicili digitali
00284570439,c_h211,Comune di Recanati,comune.recanati@emarche.it,domicili digitali
00286490438,c_g515,Comune di Petriolo,protocollo@pec.comune.petriolo.mc.it,domicili digitali
00311510432,c_a329,Comune di Apiro,comune.apiro.mc@legalmail.it,domicili digitali
00312450547,c_e975,Comune di Marsciano,comune.marsciano@postacert.umbria.it,domicili digitali
00312750433,c_d566,Comune di Poggio San Vicino,comune.poggiosanvicino@emarche.it,domicili digitali
00313820540,c_a475,Comune di Assisi,comune.assisi@postacert.umbria.it;contravvenzioni.comune.assisi@pec.it,domicili digitali
00314800418,c_d808,Comune di Frontone,comune.frontone@emarche.it,domicili digitali
00316550540,c_d786,Comune di Umbertide,comune.umbertide@postacert.umbria.it,domicili digitali
00316740547,c_l188,Comune di Todi,comune.todi@postacert.umbria.it,domicili digitali
00316820547,c_i921,Comune di Spoleto,suap.comune.spoleto@postacert.umbria.it;comune.spoleto@postacert.umbria.it,domicili digitali
00319830428,c_e690,Comune di Loreto,comune.loreto@emarche.it,domicili digitali
00330500448,c_i315,Comune di Santa Vittoria in Matenano,comunesvittoria@pec.it,domicili digitali
00334990447,c_d542,Comune di Fermo,protocollo@pec.comune.fermo.it,domicili digitali
00334990546,c_e256,Comune di Gubbio,comune.gubbio@postacert.umbria.it,domicili digitali
00339900425,c_i643,Comune di Serra De' Conti,comune.serradeconti@emarche.it,domicili digitali
00345420426,c_c524,Comune di Cerreto D'Esi,ragioneria@pec.comune.cerretodesi.an.it,domicili digitali
00351040423,c_a271,Comune di Ancona,comune.ancona@emarche.it,domicili digitali
00351780549,c_i263,Comune di Sant'Anatolia di Narco,comune.santanatoliadinarco@postacert.umbria.it,domicili digitali
00353580442,c_a437,Comune di Arquata del Tronto,comune.arquatadeltronto@emarche.it,domicili digitali
00355250440,c_c877,Comune di Colli del Tronto,comune.collideltronto@postcert.it;comune.collideltronto@emarche.it,domicili digitali
00356080440,c_a044,Comune di Acquasanta Terme,comune.acquasantaterme@anutelpec.it,domicili digitali
00356330449,c_d210,Comune di Cupra Marittima,comune.cupramarittima@emarche.it,domicili digitali
00356970442,c_f722,Comune di Moresco,ragioneria.moresco@pec.ucvaldaso.it;moresco@pec.it,domicili digitali
00357010446,c_e447,Comune di Lapedona,tecnico.lapedona@pec.ucvaldaso.it;lapedona@pec.ucvaldaso.it;solidea.pieroni@pec.ucvaldaso.it,domicili digitali
00357030444,c_f614,Comune di Monterubbiano,monterubbiano@pec.ucvaldaso.it,domicili digitali
00357070440,c_f516,Comune di Montegallo,comune.montegallo@emarche.it,domicili digitali
00357080449,c_f570,Comune di Montemonaco,comunemontemonaco.protocollo@pec.it,domicili digitali
00357180447,c_f493,Comune di Montefalcone Appennino,comune@pec.montefalcone.it,domicili digitali
00358210441,c_h182,Comune di Rapagnano,comune.rapagnano@pec.it,domicili digitali
00358230449,c_h588,Comune di Rotella,protocollo.comune.rotella@pec.it,domicili digitali
00358540441,c_c321,Comune di Castignano,comunecastignano.ap@pec.it,domicili digitali
00360140446,c_h769,Comune di San Benedetto del Tronto,protocollo@cert-sbt.it,domicili digitali
00360220446,c_f487,Comune di Montedinove,comune.montedinove@emarche.it,domicili digitali
00360630412,c_f497,Comune di Montefelcino,comunemontefelcino@pecitaly.it,domicili digitali
00362290447,c_d652,Comune di Folignano,comune.folignano@emarche.it,domicili digitali
00362890444,c_i912,Comune di Spinetoli,areaamministrativa@pec.comune.spinetoli.ap.it,domicili digitali
00363050543,c_i727,Comune di Sigillo,comune.sigillo@postacert.umbria.it;suap.comune.sigillo@postacert.umbria.it,domicili digitali
00363500448,c_a335,Comune di Appignano del Tronto,comuneappignanodeltronto@pec.it,domicili digitali
00364960443,c_e868,Comune di Maltignano,anagrafe.comune.maltignano@emarche.it,domicili digitali
00370910440,c_h321,Comune di Ripatransone,protocollo@pec.comune.ripatransone.ap.it;ragioneria@pec.comune.ripatransone.ap.it,domicili digitali
00372420547,c_c745,Comune di Citta' di Castello,comune.cittadicastello@postacert.umbria.it;tributi@pec.comune.cittadicastello.pg.it,domicili digitali
00376660445,c_a047,Comune di Acquaviva Picena,protocollo@pec.comuneacquavivapicena.it,domicili digitali
00376950440,c_f591,Comune di Monteprandone,comune.monteprandone@emarche.it,domicili digitali
00377160445,c_l279,Comune di Torre San Patrizio,comune.torresanpatrizio@postcert.it,domicili digitali
00377760442,c_d096,Comune di Cossignano,protocollo@pec.comune.cossignano.ap.it,domicili digitali
00380940445,c_f021,Comune di Massa Fermana,protocollo.massafermana@pec.it,domicili digitali
00382520427,univpm,Universita' Politecnica delle Marche,direttore.dm@pec.univpm.it;direttore.cad@pec.univpm.it;direttore.disva@pec.univpm.it;direttore.disco@pec.univpm.it;preside.medicina@pec.univpm.it;direttore.simau@pec.univpm.it;preside.economia@pec.univpm.it;direttore.d3a@pec.univpm.it;direttore.disbsp@pec.univpm.it;direttore.dimsc@pec.univpm.it;direttore.disclimo@pec.univpm.it;direttore.dicea@pec.univpm.it;direttore.dii@pec.univpm.it;direttore.diism@pec.univpm.it;direttore.csal@pec.univpm.it;protocollo@pec.univpm.it;preside.ingegneria@pec.univpm.it;direttore.dises@pec.univpm.it,domicili digitali
00384000543,c_a832,Comune di Bettona,ragioneria@pec.comune.bettona.pg.it;suap.comune.bettona@postacert.umbria.it;segreteria@pec.comune.bettona.pg.it,domicili digitali
00384350427,c_g157,Comune di Osimo,comune.osimo@emarche.it,domicili digitali
00385230545,c_a710,Comune di Bastia Umbra,comune.bastiaumbra@postacert.umbria.it,domicili digitali
00385810445,c_g516,Comune di Petritoli,comune.petritoli.sindaco@emarche.it,domicili digitali
00390830446,c_g137,Comune di Ortezzano,comune.ortezzano@emarche.it,domicili digitali
00396470445,c_f599,Comune di Monte Rinaldo,COMUNE.MONTERINALDO@EMARCHE.IT,domicili digitali
00400660445,c_f509,Comune di Montefortino,comune.montefortino@emarche.it;comune.montefortino@pec.it,domicili digitali
00405660549,c_i522,Comune di Scheggia e Pascelupo,comune.scheggiaepascelupo@postacert.umbria.it,domicili digitali
00407650548,c_b609,Comune di Cannara,comune.cannara@postacert.umbria.it,domicili digitali
00411920549,c_d745,Comune di Fossato di Vico,suap.comune.fossatodivico@postacert.umbria.it;comune.fossatodivico@postacert.umbria.it,domicili digitali
00413580671,c_l207,Comune di Torano Nuovo,protocollotorano@postecert.it,domicili digitali
00417870540,c_f911,Comune di Nocera Umbra,comune.noceraumbra@postacert.umbria.it,domicili digitali
00429530546,c_f024,Comune di Massa Martana,COMUNE.MASSAMARTANA@POSTACERT.UMBRIA.IT,domicili digitali
00429570542,c_l397,Comune di Trevi,comune.trevi@postacert.umbria.it,domicili digitali
00436320543,c_g212,Comune di Paciano,comune.paciano@postacert.umbria.it,domicili digitali
00443770540,p_pg,Provincia di Perugia,provincia.perugia@postacert.umbria.it,domicili digitali
00449760545,c_c845,Comune di Collazzone,comune.collazzone@postacert.umbria.it,domicili digitali
00450620547,c_a835,Comune di Bevagna,comune.bevagna@postacert.umbria.it,domicili digitali
00453460545,adsu_pg,Agenzia per il Diritto allo Studio Universitario dell'Umbria,adisu@pec.it,domicili digitali
00467070546,c_e230,Comune di Gualdo Tadino,gualdotadino@letterecertificate.it;suap.comune.gualdotadino@postacert.umbria.it;comune.gualdotadino@postacert.umbria.it,domicili digitali
00467160677,c_c781,Comune di Civitella Del Tronto,protocollo@pec.comunecivitelladeltronto.it;tecnico@pec.comunecivitelladeltronto.it;segreteria@pec.comunecivitelladeltronto.it;vigili@pec.comunecivitelladeltronto.it;demografici@pec.comunecivitelladeltronto.it;statocivile@pec.comunecivitelladeltronto.it,domicili digitali
00470070541,c_e012,Comune di Giano dell'Umbria,comune.gianodellumbria@postacert.umbria.it,domicili digitali
00470080540,c_d108,Comune di Costacciaro,comune.costacciaro@postacert.umbria.it;suap.comune.costacciaro@postacert.umbria.it,domicili digitali
00470090549,c_l653,Comune di Valtopina,comune.valtopina@postacert.umbria.it,domicili digitali
00470120544,c_i585,Comune di Sellano,comune.sellano@postacert.umbria.it,domicili digitali
00476350541,c_l573,Comune di Valfabbrica,comune.valfabbrica@postacert.umbria.it;suap.comune.valfabbrica@postacert.umbria.it,domicili digitali
00482510542,c_c252,Comune di Castel Ritaldi,comune.castelritaldi@postacert.umbria.it,domicili digitali
00821180577,as_ri,Azienda USL Rieti,asl.rieti@pec.it,domicili digitali
00920370673,aidas,Azienda per Il Diritto Agli Studi Universitari di Teramo,info@pec.adsuteramo.it,domicili digitali
01116550441,p_ap,Provincia di Ascoli Piceno,provincia.ascoli@emarche.it,domicili digitali
01457790556,WU7SOOU2,AZIENDA TERRITORIALE PER L'EDILIZIA RESIDENZIALE DELLA REGIONE UMBRIA,ater.umbria@legalmail.it,domicili digitali
01499590550,055,Azienda Unita' Sanitaria Locale Umbria 2,aslumbria2@postacert.umbria.it,domicili digitali
01792410662,asl1_asl,Azienda Sanitaria Locale Avezzano Sulmona L'Aquila,ingegneriaclinica@pec.asl1abruzzo.it;protocollogenerale@pec.asl1abruzzo.it;appaltilavori@pec.asl1abruzzo.it;benieservizi@pec.asl1abruzzo.it,domicili digitali
01874180431,umdma,Unione Montana Dei Monti Azzurri,sua.umma@pec.it;montiazzurri@pec.it;suap.montiazzurri@pec.it,domicili digitali
01874330432,umavp,Unione Montana Potenza Esino Musone,umpotenzaesino@emarche.it,domicili digitali
01874730433,ummc,Unione Montana Marca di Camerino,ragioneria.unionemarcadicamerino@emarche.it,domicili digitali
01920870670,aspte1,Asp. N. 1 Prov. Teramo,asp1teramo@pec.it,portale IPA
01932550435,comvalfo,Comune di Valfornace,comune.valfornace@emarche.it,domicili digitali
02119730428,Y5H2310W,ACQUAMBIENTE MARCHE SRL,info@pec.acquambientemarche.it,domicili digitali
02175860424,as_marc,Regione Marche Azienda Sanitaria Unica Regionale,areavasta3.asur@emarche.it;areavasta4.asur@emarche.it;areavasta2.asur@emarche.it;asur@emarche.it;areavasta5.asur@emarche.it;ast.ancona0123@emarche.it,domicili digitali
02457750582,c_f871,Comune di Nerola,segreterianerola@pec.provincia.roma.it,domicili digitali
02573290422,eram_042,Ente Regionale per L'Abitazione Pubblica Delle Marche,erap.marche.fm@emarche.it;erap.marche.mc@emarche.it;erap.marche.pu@emarche.it;erap.marche.an@emarche.it;erap.marche.ap@emarche.it,domicili digitali
02770710420,eerid,Erdis Ente Regionale per Il Diritto allo Studio,erdis@emarche.it,domicili digitali
06340981007,agd,Agenzia del Demanio,dre_Liguria@pce.agenziademanio.it;dre_PiemonteVDA@pce.agenziademanio.it;dre_ToscanaUmbria@pce.agenziademanio.it;dre_AbruzzoMolise@pce.agenziademanio.it;dre_Calabria@pce.agenziademanio.it;dre_Campania@pce.agenziademanio.it;dre_EmiliaRomagna@pce.agenziademanio.it;dre_FriuliVeneziaGiulia@pce.agenziademanio.it;dre_lazio@pce.agenziademanio.it;dre_Lombardia@pce.agenziademanio.it;AgenziaDemanio@pce.agenziademanio.it;dre_PugliaBasilicata@pce.agenziademanio.it;dre_Sicilia@pce.agenziademanio.it;dre_TrentinoAltoAdige@pce.agenziademanio.it;dre_Veneto@pce.agenziademanio.it;dr_romacapitale@pce.agenziademanio.it;dre_Marche@pce.agenziademanio.it;dre_Sardegna@pce.agenziademanio.it,domicili digitali
80000110439,c_a334,Comune di Appignano,comune.appignano@emarche.it,domicili digitali
80000130544,r_umbria,Regione Umbria,regione.giunta@postacert.umbria.it,domicili digitali
80000270449,c_c093,Comune di Castel di Lama,servizi.demografici@pec.comune.casteldilama.ap.it;rita.cherubini@pec.comune.casteldilama.ap.it,domicili digitali
80000330441,c_d691,Comune di Force,segreteria@pec.comune.force.ap.it,domicili digitali
80000370678,c_l314,Comune di Tossicia,finanziario@peccomunetossicia.te.it;protocollo@peccomunetossicia.te.it,domicili digitali
80000490443,c_f415,Comune di Montalto delle Marche,com.montalto.ap@emarche.it,domicili digitali
80000970444,c_i774,Comune di Smerillo,comune.smerillo@emarche.it;ragioneria.comune.smerillo@emarche.it,domicili digitali
80001030446,c_a252,Comune di Amandola,comune.amandola.ufficiotecnico@emarche.it,domicili digitali
80001070673,p_TE,Provincia di Teramo,protocollo@pec.provincia.teramo.it,domicili digitali
80001190687,c_c771,Comune di Civitaquana,info@pec.comune.civitaquana.pe.it,domicili digitali
80001250432,p_mc,Provincia di Macerata,provincia.macerata@legalmail.it;fatture@pec.provincia.mc.it,domicili digitali
80001250440,c_c935,Comune di Comunanza,protocollo@pec.comune.comunanza.ap.it,domicili digitali
80001250689,c_k7sn,Comune di Carpineto della Nora,protocollo@pec.comune.carpinetodellanora.pe.it;istituzionexixvestina@legalmail.it,domicili digitali
80001270687,c_f441,Comune di Montebello di Bertona,finanziariomontebello@pec.it,domicili digitali
80001330556,c_d538,Comune di Ferentillo,comune.ferentillo@postacert.umbria.it,domicili digitali
80001650433,c_e783,Comune di Macerata,comune.macerata@legalmail.it,domicili digitali
80001650441,c_g289,Comune di Palmiano,comune.palmiano@emarche.it,domicili digitali
80002070672,c_f690,Comune di Montorio Al Vomano,postacert@pec.comune.montorio.te.it,domicili digitali
80002910679,c_a692,Comune di Basciano,postacert@pec.comune.basciano.te.it,domicili digitali
80003050673,c_l295,Comune di Torricella Sicura,comune.torricellasicura@legalmail.it,domicili digitali
