cup,soggetto_titolare,cf_piva_soggetto,categoria_soggetto,sotto_categoria_soggetto,natura,tipologia_intervento,settore_intervento,sotto_settore_intervento,categoria_intervento,descrizione_cup,anno_decisione,importo_costo_progetto,importo_finanziamento,tipo_copertura,strumento,numero_cup_collegati,cup_master_collegato,url_opencup
F54D22004770007,COMUNE DI MONTEFALCONE APPENNINO - ASCOLI PICENO -,00357180447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RECUPERO,INFRASTRUTTURE AMBIENTALI E RISORSE IDRICHE,DIFESA DEL SUOLO,ABITATI,MOVIMENTO FRANOSO CENTRO ABITATO E VIA APPENNINA*VIA APPENNINA*CONSOLIDAMENTO MOVIMENTI FRANOSI CENTRO ABITATO: LATO SUD RUPE IN CORRISPONDENZA DELLA ROCCA MEDIEVALE/CASA PROTETTA E SU LATO NORD DI VIA APPENNINA CON RIPRISTINO VIABILITA' INTERCLUSA,2022,2300000.0,2300000.0,"STATALE, COMUNITARIA",ALTRO-PIANO TRIENNALE OO.PP.,0,"",https://opencup.gov.it/portale/progetto/-/cup/F54D22004770007
F54F18000380001,COMUNE DI MONTEFALCONE APPENNINO - ASCOLI PICENO -,00357180447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RECUPERO,INFRASTRUTTURE DEL SETTORE ENERGETICO,DISTRIBUZIONE DI ENERGIA,ALTRI IMPIANTI DI DISTRIBUZIONE ENERGIA,LOCALITA' TIRO A SEGNO E CONTRADA LUOGO DI SASSO.*LOCALITA' TIRO A SEGNO E CONTRADA LUOGO DI SASSO.*COMPLETAMENTO E RIQUALIFICAZIONE ENERGETICA IMPIANTI DI PUBBLICA ILLUMINAZIONE IN LOCALITA' TIRO A SEGNO E CONTRADA LUOGO DI SASSO.,2018,42000.0,42000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/F54F18000380001
F55D19000030005,COMUNE DI MALTIGNANO - AP -,00364960443,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RECUPERO,INFRASTRUTTURE SOCIALI,"SPORT, SPETTACOLO E TEMPO LIBERO",IMPIANTI SPORTIVI,INTERVENTO DI RIQUALIFICAZIONE SOCIALE E CULTURALE DELL'AREA URBANA DEGRADATA MEDIANTE LA MANUTENZIONE STRAORDINARIA DEL CENTRO SPORTIVO COMUNALE AL FINE DELLO SVILUPPO DEI SERVIZI SOCIALI ED EDUCATIVI*VIA LOMBARDIA*INTERVENTO DI RIQUALIFICAZIONE SOCIALE E CULTURALE DELL'AREA URBANA DEGRADATA MEDIANTE LA MANUTENZIONE STRAORDINARIA DEL CENTRO SPORTIVO COMUNALE AL FINE DELLO SVILUPPO DEI SERVIZI SOCIALI ED EDUCATIVI,2019,42000.0,42000.0,ALTRA PUBBLICA,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/F55D19000030005
F56B23000020005,COMUNE DI NORCIA - PG -,84002650541,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),NUOVA REALIZZAZIONE,"OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE",OPERE E STRUTTURE PER IL TURISMO,ALTRE STRUTTURE DI RICETTIVITA' TURISTICA,"REALIZZAZIONE DI UN'AREA ATTREZZATA (AREA CAMPER SERVICE)*FRAZIONE DI ANCARANO LOCALITÀ SANT'ANGELO*REALIZZAZIONE DI UN'AREA ATTREZZATA (AREA CAMPER SERVICE), NELLA FRAZIONE DI ANCARANO LOCALITÀ SANT'ANGELO, DISTINTA AL FOGLIO 30 PARTICELLA 1054 SUL TERRENO DI PROPRIETÀ DEL COMUNE DI NORCIA (PG)",2023,240000.0,240000.0,ALTRA PUBBLICA,ALTRO-Ordinanza Commissario n.77/2019 - Sisma 2016,0,"",https://opencup.gov.it/portale/progetto/-/cup/F56B23000020005
F56F20000000001,COMUNE DI NORCIA - PG -,84002650541,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RESTAURO,INFRASTRUTTURE SOCIALI,DIREZIONALI E AMMINISTRATIVE,EDIFICI E INFRASTRUTTURE PER UFFICI,RESTAURO E ADEGUAMENTO SISMICO MEDIANTE ISOLAMENTO ALLA BASE DEL PALAZZO COMUNALE E DELLA TORRE CIVICA IN NORCIA CAPOLUOGO*PIAZZA SAN BENEDETTO*RESTAURO E ADEGUAMENTO SISMICO MEDIANTE ISOLAMENTO ALLA BASE DEL PALAZZO COMUNALE E DELLA TORRE CIVICA IN NORCIA CAPOLUOGO,2020,5875000.0,5875000.0,STATALE,ALTRO-SISMA 2016,0,"",https://opencup.gov.it/portale/progetto/-/cup/F56F20000000001
F56G17001110001,REGIONE MARCHE,80008630420,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI REGIONALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,SANITARIE,ALTRI PRESIDI SANITARI TERRITORIALI,POLIAMBULATORIO*VIA GIUSEPPE GARIBALDI 13*SISMA 2016 2017: RIPARAZIONE E RIPRISTINO,2017,3300000.0,3300000.0,STATALE,ALTRO-Decreto Legge 189 del 2016 recante Interventi urgenti in favore delle popolazioni colpite dal sisma del 24 agosto 2016,0,"",https://opencup.gov.it/portale/progetto/-/cup/F56G17001110001
F56J20001370001,COMUNE DI NORCIA - PG -,84002650541,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA CON EFFICIENTAMENTO ENERGETICO,INFRASTRUTTURE SOCIALI,SOCIALI E SCOLASTICHE,ALTRE STRUTTURE SOCIALI,"OPERE DI MANUTENZIONE STRAORDINARIA E ISOLAMENTO TERMICO (EFFICIENTAMENTO ENERGETICO) DEL CENTRO PROMOZIONALE IN NORCIA CAPOLUOGO, VIA SOLFERINO - ORDINANZA DEL GOVERNO PER LA RICOSTRUZIONE NEI TERRITORI INTERESSATI DAL SISMA DEL 24.08.2016*VIA SOLFERINO*OPERE DI MANUTENZIONE STRAORDINARIA E ISOLAMENTO TERMICO (EFFICIENTAMENTO ENERGETICO) DEL CENTRO PROMOZIONALE IN NORCIA CAPOLUOGO, VIA SOLFERINO - ORDINANZA COMMISSARIO STRAORDINARIO SISMA 2016 N. 104 DEL 29.06.2020",2020,126235.0,126235.0,STATALE,"ALTRO-ORDINANZA COMMISSARIO STRAORDINARIO DEL GOVERNO PER LA RICOSTRUZIONE NEI TERRITORI INTERESSATI DAL SISMA DEL 24.08.2016, N. 104 DEL 29.06.2020 - CONTRIBUTI EX ART. 9-UNDETRICIES D.L. 123/2019",0,"",https://opencup.gov.it/portale/progetto/-/cup/F56J20001370001
F56J20001520001,COMUNE DI NORCIA - PG -,84002650541,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RESTAURO,INFRASTRUTTURE SOCIALI,BENI CULTURALI,RESTAURO E RIQUALIFICAZIONE DI BENI CULTURALI,"RESTAURO E MIGLIORAMENTO SISMICO DI PORTA ASCOLANA  IN NORCIA, ORDINANZA DEL COMMISSARIO STRAORDINARIO N. 37/2017*PORTA ASCOLANA*RESTAURO E MIGLIORAMENTO SISMICO DI PORTA ASCOLANA  IN NORCIA",2020,900000.0,900000.0,STATALE,ALTRO-SISMA 2016,0,"",https://opencup.gov.it/portale/progetto/-/cup/F56J20001520001
F56J20001530001,COMUNE DI NORCIA - PG -,84002650541,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RESTAURO,INFRASTRUTTURE SOCIALI,BENI CULTURALI,MUSEI ARCHIVI E BIBLIOTECHE,RIPARAZIONE DEL DANNO POST TERREMOTO CONSOLIDAMENTO E MIGLIORAMENTO SISMICO DELL'EDIFICIO LA CASTELLINA IN PIAZZA SAN BENEDETTO*PIAZZA SAN BENEDETTO*RIPARAZIONE DEL DANNO POST TERREMOTO CONSOLIDAMENTO E MIGLIORAMENTO SISMICO,2020,785515.0,785515.0,STATALE,ALTRO-SISMA 2016,0,"",https://opencup.gov.it/portale/progetto/-/cup/F56J20001530001
F56J20001540001,COMUNE DI NORCIA - PG -,84002650541,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RESTAURO,INFRASTRUTTURE SOCIALI,BENI CULTURALI,RESTAURO E RIQUALIFICAZIONE DI BENI CULTURALI,RESTAURO E CONSOLIDAMENTO MURA URBICHE - TRATTO DI MURA TRA PORTA ROMANA E PORTA ORIENTALE*CIRCONVALLAZIONE*RESTAURO E CONSOLIDAMENTO MURA URBICHE - TRATTO DI MURA TRA PORTA ROMANA E PORTA ORIENTALE,2020,1914486.0,1914486.0,STATALE,ALTRO-SISMA 2016,0,"",https://opencup.gov.it/portale/progetto/-/cup/F56J20001540001
F57B22000150001,COMUNE DI NORCIA - PG -,84002650541,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RECUPERO,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE,INFRASTRUTTURE A RETE OPERE PUNTUALI SAN PELLEGRINO*FRAZIONE SAN PELLEGRINO*INFRASTRUTTURE A RETE E OPERE PUNTUALI,2022,7210000.0,7210000.0,STATALE,ALTRO-SISMA 2016,0,"",https://opencup.gov.it/portale/progetto/-/cup/F57B22000150001
F57B22000160001,COMUNE DI NORCIA - PG -,84002650541,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RECUPERO,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE,INFRASTRUTTURE A RETE E OPERE PUNTUALI FRAZIONE NOTTORIA*FRAZIONE NOTTORIA*REALIZZAZIONE INFRASTRUTTURE A RETE E OPERE PUNTUALI,2022,4740000.0,4740000.0,STATALE,ALTRO-SISMA 2016,0,"",https://opencup.gov.it/portale/progetto/-/cup/F57B22000160001
F57B22000170001,COMUNE DI NORCIA - PG -,84002650541,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RECUPERO,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE,INFRASTRUTTUERE A RETE E OPERE PUNTUALI FRAZIONE CAMPI ALTO*CAMPI ALTO*REALIZZAZIONE INFRASTRUTTURE A RETE E OPERE PUNTUALI,2022,9215000.0,9215000.0,STATALE,ALTRO-SISMA 2016,0,"",https://opencup.gov.it/portale/progetto/-/cup/F57B22000170001
F57B22000180001,COMUNE DI NORCIA - PG -,84002650541,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RECUPERO,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE,INFRASTRUTTURE A RETE E OPERE PUNTUALI FRAZIONE ANCARANO - S. ANGELO*FRAZIONE ANCARANO - S. ANGELO*REALIZZAZIONE INFRASTRUTTURE A RETE E OPERE PUNTUALI,2022,3200000.0,3200000.0,STATALE,ALTRO-SISMA 2016,0,"",https://opencup.gov.it/portale/progetto/-/cup/F57B22000180001
F57B22000190001,COMUNE DI NORCIA - PG -,84002650541,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RECUPERO,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE,INFRASTRUTTURE A RETE E OPERE PUNTUALI NELLA FRAZIONE DI ANCARANO - PIE' LA ROCCA*FRAZIONE ANCARANO - PIE' LA ROCCA*REALIZZAZIONE INFRASTRUTTURE A RETE E OPERE PUNTUALI,2022,4865000.0,4865000.0,STATALE,ALTRO-SISMA 2016,0,"",https://opencup.gov.it/portale/progetto/-/cup/F57B22000190001
F57B22000200001,COMUNE DI NORCIA - PG -,84002650541,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RECUPERO,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE,INFRASTRUTTURE A RETE E OPERE PUNTUALI FRAZIONE ANCARANO - CAPO DEL COLLE*FRAZIONE ANCARANO - CAPO DEL COLLE*REALIZZAZIONE INFRASTRUTTURE A RETE E OPERE PUNTUALI,2022,6758000.0,6758000.0,STATALE,ALTRO-SISMA 2016,0,"",https://opencup.gov.it/portale/progetto/-/cup/F57B22000200001
F57B22000210001,COMUNE DI NORCIA - PG -,84002650541,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RECUPERO,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE,INFRASTRUTTURE A RETE E OPERE PUNTUALI NELLA FRAZIONE DI ANCARANO - PIE' DEL COLLE*FRAZIONE ANCARANO - PIE' DEL COLLE*REALIZZAZIONE INFRASTRUTTURE A RETE E OPERE PUNTUALI,2022,2965000.0,2965000.0,STATALE,ALTRO-SISMA 2016,0,"",https://opencup.gov.it/portale/progetto/-/cup/F57B22000210001
F57H23000280006,COMUNE DI MALTIGNANO - AP -,00364960443,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA,INFRASTRUTTURE DI TRASPORTO,STRADALI,"STRADE REGIONALI, PROVINCIALI E COMUNALI",PROGRAMMA UNITARIO RIGENERAZIONE URBANA PER LE AREE SISMA 2009-2016 - INTERVENTO DI RIPRISTINO PAVIMENTAZIONE E RIFACIMENTO SOTTOSRVIZI NEL CENTRO STORICO DEL COMUNE DI MALTIGNANO*VIA CENTRO STORICO*INTERVENTO DI RIPRISTINO PAVIMENTAZIONE E RIFACIMENTO SOTTOSERVIZI NEL CENTRO STORICO DEL COMUNE DI MALTIGNANO,2023,2500000.0,2500000.0,STATALE,ALTRO-PROGRAMMA RIGENERAZIONE URBANA - OO.PP.2023,0,"",https://opencup.gov.it/portale/progetto/-/cup/F57H23000280006
F57J19000050002,COMUNE DI MONTEFALCONE APPENNINO - ASCOLI PICENO -,00357180447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),ALTRO,"OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE",OPERE E STRUTTURE PER IL TURISMO,ALTRE STRUTTURE E IMPIANTI PER IL TURISMO,AREA EX TIRO A SEGNO*VIA TIRO A SEGNO*REALIZZAZIONE E FRUIZIONE DI AREE ATTREZZATE PER FINALITA' TURISTICHE NEI TERRITORI COLPITI DAL SISMA 2016 E SEG.,2019,80000.0,80000.0,REGIONALE,ASSENTE-,2,"",https://opencup.gov.it/portale/progetto/-/cup/F57J19000050002
F59C22000200007,COMUNE DI MONTEFALCONE APPENNINO - ASCOLI PICENO -,00357180447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RESTAURO,INFRASTRUTTURE SOCIALI,CULTO,ALTRI EDIFICI PER IL CULTO,CAPPELLINA E LOGGIATO STORICO CIVICO CIMITERO*C.DA LUOGO DI SASSO*RESTAURO E MIGLIORAMENTO SISMICO LOGGIATO STORICO E INTERCLUSA CAPPELLINA LATO NORD EST DEL CIVICO CIMITERO,2022,800000.0,800000.0,"STATALE, COMUNITARIA",ALTRO-PIANO TRIENNALE OO.PP.,0,"",https://opencup.gov.it/portale/progetto/-/cup/F59C22000200007
F59I18000070002,COMUNE DI MONTEFALCONE APPENNINO - ASCOLI PICENO -,00357180447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,CULTO,CHIESE,CHIESA DI SAN GIOVANNI BATTISTA PRESSO IL CIVICO CIMITERO*CIVICO CIMITERO*MIGLIORAMENTO SISMICO,2018,760000.0,760000.0,REGIONALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/F59I18000070002
F59J20001640001,COMUNE DI MONTEFALCONE APPENNINO - ASCOLI PICENO -,00357180447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),ALTRO,"OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' PRODUTTIVE, E LA RICERCA E L'IMPRESA SOCIALE",OPERE E STRUTTURE PER IL TURISMO,ALTRE STRUTTURE E IMPIANTI PER IL TURISMO,COMPLETAMENTO RIQUALIFICAZIONE AREA CAMPER EX TIRO A SEGNO*VIA TIRO A SEGNO*RIQUALIFICAZIONE AREA CAMPER,2020,60000.0,60000.0,STATALE,ALTRO-PIANO OO. PP. COMUNALE,0,"",https://opencup.gov.it/portale/progetto/-/cup/F59J20001640001
F59J21005830001,COMUNE DI NORCIA - PG -,84002650541,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),ALTRO,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE,EX DISPENSARIO*VIA VESPASIA POLLA*RIPARAZIONE CON RAFFORZAMENTO LOCALE,2021,1000000.0,1000000.0,STATALE,ALTRO-SISMA 2016,0,"",https://opencup.gov.it/portale/progetto/-/cup/F59J21005830001
F61B21002590001,COMUNE DI FERMO - AP -,00334990447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI ADEGUAMENTO SISMICO,INFRASTRUTTURE SOCIALI,SOCIALI E SCOLASTICHE,"SCUOLE ELEMENTARI, MEDIE E SUPERIORI","LAVORI DI ADEGUAMENTO SISMICO LICEO PSICOPEDAGOGICO PALAZZO SACCONI*L.GO CAVALLOTTI, 5*ADEGUAMENTO SISMICO",2021,6000000.0,6000000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/F61B21002590001
F61C19000000001,COMUNE DI ACQUASANTA TERME - AP -,00356080440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),NUOVA REALIZZAZIONE,INFRASTRUTTURE DI TRASPORTO,AEROPORTUALI,PISTE,ELISUPERFICIE*LOCALITÀ CORENTO*REALIZZAZIONE NUOVA ELISUPERFICIE,2019,150000.0,150000.0,STATALE,ALTRO-Programma OOPP locale,0,"",https://opencup.gov.it/portale/progetto/-/cup/F61C19000000001
F62E20000050001,AMMINISTRAZIONE PROVINCIALE DI MACERATA,80001250432,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI PROVINCIALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),NUOVA REALIZZAZIONE,INFRASTRUTTURE SOCIALI,SOCIALI E SCOLASTICHE,"SCUOLE ELEMENTARI, MEDIE E SUPERIORI",ISTITUTO ALBERGHIERO VARNELLI E LICEO SOCIO-PSICO-PEDAGOGICO LEOPARDI DI CINGOLI*ISTITUTO ALBERGHIERO VARNELLI E LICEO SOCIO-PSICO-PEDAGOGICO LEOPARDI DI CINGOLI*COSTRUZIONE DEL NUOVO POLO SCOLASTICO PER L'ISTITUTO ALBERGHIERO VARNELLI E PER IL LICEO SOCIO-PSICO-PEDAGOGICO LEOPARDI DI CINGOLI,2020,2.3E7,2.3E7,STATALE,ALTRO-Programma triennale lavori 2020/2022 - annualità 2021,0,"",https://opencup.gov.it/portale/progetto/-/cup/F62E20000050001
F62F22000410001,COMUNE DI VALLO DI NERA - PG -,84001550544,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA,INFRASTRUTTURE SOCIALI,BENI CULTURALI,ALTRI BENI CULTURALI,EDIFICIO DENOMINATO EREMO DI SANT' ANTONIO*VIA DI TOFELE*RIPARAZIONE DELL'EDIFICIO DENOMINATO EREMO DI SANT' ANTONIO,2022,600000.0,600000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/F62F22000410001
F62F22001100001,COMUNE DI ACQUASANTA TERME - AP -,00356080440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE,RISTRUTTURAZIONE MURO DI CONTENIMENTO E RIQUALIFICAZIONE PERCORSO PEDONALE CENTRO STORICO*VIA TITO LIVIO*INTERVENTO DI RIGENERAZIONE URBANA CHE RIGUARDA LA RIQUALIFICAZIONE DI UN PERCORSO PEDONALE DISMESSO CON RELATIVA OPERA DI CONTENIMENTO CHE COLLEGA LA GROTTA SUDATORIA AL CENTRO DI ACQUASANTA TERME,2022,2090000.0,2090000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/F62F22001100001
F62F25000130005,COMUNE DI ACQUASANTA TERME - AP -,00356080440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,ILLUMINAZIONE PUBBLICA,ILLUMINAZIONE PUBBLICA FRAZIONI DEL COMUNE DI ACQUSANTA TERME DANNEGIATE DIRETTAMENTE O INDIRETTAMENTE DAL SISMA*FRAZIONI VARIE*RIPRISTINO E INTEGRAZIONE ILLUMINAZIONE PUBBLICA FRAZIONI DEL COMUNE DI ACQUSANTA TERME DANNEGIATE DIRETTAMENTE O INDIRETTAMENTE DAL SISMA,2025,237737.0,237737.0,ALTRA PUBBLICA,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/F62F25000130005
F62H22000500001,COMUNE DI ACQUASANTA TERME - AP -,00356080440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA,INFRASTRUTTURE SOCIALI,"SPORT, SPETTACOLO E TEMPO LIBERO",IMPIANTI SPORTIVI,RIPRISTINO DANNI NEVE PISCINA COMUNALE PARCO RIO*VIA PARCO RIO*RIPRISTINO DANNI NEVE PISCINA COMUNALE PARCO RIO,2022,42000.0,42000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/F62H22000500001
F62I19000010007,COMUNE DI ACQUASANTA TERME - AP -,00356080440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),ALTRO,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE,"COMPLESSO TERMALE DI ACQUASANTA TERME*VIA DELLE TERME (GIÀ VIA DEL BAGNO)*RECUPERO, ADEGUAMENTO STRUTTURALE E FUNZIONALE E VALORIZZAZIONE DEL COMPLESSO TERMALE DI ACQUASANTA TERME (AP)",2019,6000000.0,6000000.0,"STATALE, COMUNITARIA",ALTRO-Programma OOPP locale,0,"",https://opencup.gov.it/portale/progetto/-/cup/F62I19000010007
F63B19000010001,COMUNE DI ACQUASANTA TERME - AP -,00356080440,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI ADEGUAMENTO SISMICO,INFRASTRUTTURE SOCIALI,DIREZIONALI E AMMINISTRATIVE,STRUTTURE/INFRASTRUTTURE PER SEDI DELLA PUBBLICA AMMINISTRAZIONE,MUNICIPIO*PIAZZA XX SETTEMBRE N.12*LAVORI DI RIPRISTINO CON MIGLIORAMENTO (ADEGUAMENTO) SISMICO MUNICIPIO (SISMA 2016),2019,1904256.0,1904256.0,STATALE,ALTRO-Programma OOPP locale,0,"",https://opencup.gov.it/portale/progetto/-/cup/F63B19000010001
