stato,inizio,fine,sindacati,settore,categoria,modalita,rilevanza,note,data_proclamazione,regione,provincia,data_ricezione,inizio_iso,fine_iso
In Programma,29/10/2025,29/10/2025,OSR CUB TRASPORTI,Aereo,PERSONALE SOC. CONSULTA OPERANTE PRESSO GLI AEROPORTI DI PISA E FIRENZE,24 ORE: DALLE 00.00 ALLE 23.59,Regionale,null,25/09/2025,Toscana,Tutte,26/09/2025 15:14,2025-10-29,2025-10-29
"Revocato (include le azioni di revoca, sospensione e differimento)",29/10/2025,29/10/2025,OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL-TA,Aereo,PERSONALE SOC. AIRPORT HANDLING AEROPORTI DI MILANO LINATE E MALPENSA,24 ORE,Nazionale,null,29/09/2025,Italia,Tutte,29/09/2025 14:27,2025-10-29,2025-10-29
In Programma,29/10/2025,29/10/2025,OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL-TA,Aereo,PERSONALE SOC. AIRPORT HANDLING AEROPORTI DI MILANO LINATE E MALPENSA,24 ORE,Nazionale,null,30/09/2025,Italia,Tutte,30/09/2025 10:09,2025-10-29,2025-10-29
In Programma,29/10/2025,29/10/2025,OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL-TA/USB,Aereo,PERSONALE SOC. CONSULTA OPERANTE PRESSO GLI AEROPORTI DI PISA E FIRENZE,24 ORE: DALLE 00.00 ALLE 23.59,Regionale,null,25/09/2025,Toscana,Tutte,25/09/2025 12:59,2025-10-29,2025-10-29
In Programma,29/10/2025,29/10/2025,OST CUB TRASPORTI,Aereo,PERSONALE SOC. AIRPORT HANDLING AEROPORTI DI MILANO LINATE E MALPENSA,24 ORE: DALLE 00.00 ALLE 23.59,Nazionale,null,30/09/2025,Italia,Tutte,30/09/2025 11:53,2025-10-29,2025-10-29
In Programma,29/10/2025,29/10/2025,OST CUB TRASPORTI,Aereo,PERSONALE SOC. ALHA AEROPORTO DI MILANO MALPENSA,24 ORE: DALLE 00.00 ALLE 23.59,Nazionale,null,30/09/2025,Italia,Tutte,30/09/2025 11:56,2025-10-29,2025-10-29
In Programma,29/10/2025,29/10/2025,OST CUB TRASPORTI,Aereo,PERSONALE SOC. MLE AEROPORTO DI MILANO MALPENSA,24 ORE: DALLE 00.00 ALLE 23.59,Nazionale,null,30/09/2025,Italia,Tutte,30/09/2025 11:56,2025-10-29,2025-10-29
In Programma,29/10/2025,29/10/2025,OST FIT-CISL,Aereo,PERSONALE SOC. SWISSPORT ITALIA AEROPORTO DI MILANO LINATE,24 ORE,Nazionale,null,12/09/2025,Italia,Tutte,12/09/2025 14:58,2025-10-29,2025-10-29
In Programma,29/10/2025,29/10/2025,UILT-UIL,Aereo,PERSONALE SOC. SWISSPORT ITALIA AEROPORTO DI MILANO LINATE,24 ORE,Nazionale,null,02/09/2025,Italia,Tutte,02/09/2025 17:41,2025-10-29,2025-10-29
In Programma,29/10/2025,29/10/2025,UILT-UIL,Aereo,PERSONALE SOC. VOLOTEA,24  ORE,Nazionale,null,01/10/2025,Italia,Tutte,01/10/2025 09:54,2025-10-29,2025-10-29
In Programma,24/10/2025,25/10/2025,FEDERMAR-CISAL/UGL MARE/USB,Marittimo,PERSONALE MARITTIMO ED AMMINISTRATIVO SOCIETA' DI NAVIGAZIONE TIRRENIA CIN E MOBY,24 ORE: DALLE 15.30 DEL 24/10 ALLE 15.29 DEL 25/10,Nazionale,null,02/10/2025,Italia,Tutte,02/10/2025 22:17,2025-10-24,2025-10-25
In Programma,21/10/2025,21/10/2025,ASSEMBLEA NAZIONALE  LAVORATORI MANUTENZIONE INFRASTRUTTURA RFI,Ferroviario,PERSONALE SOC. RFI IMPIANTI MANUTENZIONE INFRASTRUTTURE,24 ORE,Nazionale,ASTENSIONE DAL LAVORO STRAORDINARIO DAL 29/9 AL 28/10/2025,08/09/2025,Italia,Tutte,08/09/2025 00:01,2025-10-21,2025-10-21
In Programma,21/10/2025,21/10/2025,COBAS LAVORO PRIVATO/COORDINAMENTO FERROVIERI,Ferroviario,PERSONALE SOC. RFI IMPIANTI MANUTENZIONE INFRASTRUTTURE,24 ORE,Nazionale,ASTENSIONE DAL LAVORO STRAORDINARIO DAL 29/9 AL 28/10/2025,08/09/2025,Italia,Tutte,08/09/2025 17:02,2025-10-21,2025-10-21
In Programma,20/10/2025,20/10/2025,OST UILT-UIL/UGL-FNA,Trasporto pubblico locale,PERSONALE SOC. PAOLO SCOPPIO E FIGLIO AUTOLINEE DI BARI,24 ORE,Locale,null,25/09/2025,Puglia,Bari,25/09/2025 13:50,2025-10-20,2025-10-20
In Programma,18/10/2025,18/10/2025,OSP CUB TRASPORTI,Trasporto pubblico locale,PERSONALE SOC. AMTS DI CATANIA,24 ORE,Locale,"ASTENSIONE DAL LAVORO STRAORDINARIO DAL 13 AL 17/10/2025, DAL 19 AL 29/10/2025 E DAL 6 AL 18/11/2025",01/10/2025,Sicilia,Catania,01/10/2025 22:29,2025-10-18,2025-10-18
In Programma,17/10/2025,17/10/2025,A.L. COBAS,Trasporto pubblico locale,PERSONALE SOC. NET (NORD EST TRASPORTI) DI MONZA  E TREZZO SULL'ADDA,24 ORE,Locale,null,24/09/2025,Lombardia,Monza e Brianza,24/09/2025 15:23,2025-10-17,2025-10-17
In Programma,17/10/2025,18/10/2025,FILT-CGIL/FIT-CISL/UILT-UIL/UGL/FAST/ORSA TRASPORTI,Appalti ferroviari,PERSONALE SOC. ELIOR DIV. POLARIS ADDETTO A SERVIZI ACCOGLIENZA E ACCOMPAGNAMENTO TRENI NOTTE INTERCITY DELLA SOC. TRENITALIA,INTERO TURNO DI LAVORO ( TRA LE 16.00 DEL 17/10 E LE 15.59 DEL 18/10 ),Nazionale,null,02/10/2025,Italia,Tutte,02/10/2025 13:51,2025-10-17,2025-10-18
In Programma,17/10/2025,17/10/2025,OSR CUB TRASPORTI,Trasporto pubblico locale,PERSONALE SOC. AMT DI GENOVA,4 ORE: DALLE 11.30 ALLE 15.30,Territoriale,null,20/09/2025,Liguria,Genova,22/09/2025 12:59,2025-10-17,2025-10-17
In Programma,16/10/2025,16/10/2025,RSA UILT-UIL,Trasporto pubblico locale,"PERSONALE SOCC. ATI FIDENTE, MIORELLI, B & B APPALTO PULIZIA E MANOVRA PRESSO SOC. AMT DI GENOVA",4 ORE: DALLE 11.00 ALLE 15.00,Locale,null,24/09/2025,Liguria,Genova,03/10/2025 10:00,2025-10-16,2025-10-16
In Programma,15/10/2025,15/10/2025,OST CUB TRASPORTI,Trasporto pubblico locale,PERSONALE SOC. ATC DI LA SPEZIA,24 ORE,Locale,null,20/09/2025,Liguria,La Spezia,22/09/2025 12:47,2025-10-15,2025-10-15
In Programma,14/10/2025,14/10/2025,FEDERTAXI-CISAL/FAST-CONFSAL-TAXI/SITAN-ATN/ORSA-TAXI/TASSISTI DI BASE/CONFAIL/UGL-TAXI/UNIMPRESA MOBILITA'/URITAXI/UTI,Taxi,ADDETTI AL SERVIZIO TAXI TERRITORIO COMUNALE DI NAPOLI,13 ORE E 30': DALLE 08.30 ALLE 22.00,Locale,null,29/09/2025,Campania,Napoli,29/09/2025 13:57,2025-10-14,2025-10-14
In Programma,14/10/2025,15/10/2025,OSR ORSA FERROVIE,Trasporto merci,PERSONALE SOC. SBB CARGO ITALIA REGIONE LOMBARDIA,8 ORE: DALLE 21.00 DEL 14/10 ALLE 04.59 DEL 15/10,Regionale,null,03/10/2025,Lombardia,Tutte,03/10/2025 14:17,2025-10-14,2025-10-15
In Programma,13/10/2025,13/10/2025,FAST-CONFSAL,Aereo,PERSONALE SOC. ADR - AEROPORTI DI ROMA (FIUMICINO E CIAMPINO),4 ORE: DALLE 12.00 ALLE 16.00,Nazionale,GARANTITI I VOLI DA E PER GLI AEROPORTI DELLA REGIONE TOSCANA,08/08/2025,Italia,Tutte,08/08/2025 13:24,2025-10-13,2025-10-13
In Programma,13/10/2025,13/10/2025,OSP FAISA-CONFAIL,Trasporto pubblico locale,"PERSONALE DIVISIONE FERRO, PERSONALE VIAGGIANTE, LINEE VESUVIANE SOC. EAV DI NAPOLI",4 ORE: DALLE 08.30 ALLE 12.30,Locale,null,30/09/2025,Campania,Napoli,30/09/2025 10:10,2025-10-13,2025-10-13
"Revocato (include le azioni di revoca, sospensione e differimento)",13/10/2025,13/10/2025,OSR CUB TRASPORTI,Aereo,PERSONALE SOC. CONSULTA OPERANTE PRESSO GLI AEROPORTI DI PISA E FIRENZE,24 ORE: DALLE 00.00 ALLE 23.59,Regionale,null,16/09/2025,Toscana,Tutte,17/09/2025 21:03,2025-10-13,2025-10-13
"Revocato (include le azioni di revoca, sospensione e differimento)",13/10/2025,13/10/2025,OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL-TA/USB,Aereo,PERSONALE SOC. CONSULTA OPERANTE PRESSO GLI AEROPORTI DI PISA E FIRENZE,24 ORE: DALLE 00.00 ALLE 23.59,Regionale,null,16/09/2025,Toscana,Tutte,17/09/2025 12:48,2025-10-13,2025-10-13
"Revocato (include le azioni di revoca, sospensione e differimento)",11/10/2025,11/10/2025,CONFIAL-TRASPORTI,Trasporto pubblico locale,PERSONALE SOC. AUTOGUIDOVIE REGIONE LOMBARDIA CON INTERESSAMENTO DELL'AREA DI BOLOGNA,4 ORE: DALLE 18.00 ALLE 22.00,Regionale,null,30/09/2025,Lombardia,Tutte,30/09/2025 13:33,2025-10-11,2025-10-11
"Revocato (include le azioni di revoca, sospensione e differimento)",10/10/2025,10/10/2025,ASSEMBLEA NAZIONALE  LAVORATORI MANUTENZIONE INFRASTRUTTURA RFI,Ferroviario,PERSONALE SOC. RFI IMPIANTI MANUTENZIONE INFRASTRUTTURE,24 ORE,Nazionale,ASTENSIONE DAL LAVORO STRAORDINARIO DAL 29/9 AL 28/10/2025,06/09/2025,Italia,Tutte,06/09/2025 00:01,2025-10-10,2025-10-10
"Revocato (include le azioni di revoca, sospensione e differimento)",10/10/2025,10/10/2025,COBAS LAVORO PRIVATO/COORDINAMENTO FERROVIERI,Ferroviario,PERSONALE SOC. RFI IMPIANTI MANUTENZIONE INFRASTRUTTURE,24 ORE,Nazionale,ASTENSIONE DAL LAVORO STRAORDINARIO DAL 29/9 AL 28/10/2025,06/09/2025,Italia,Tutte,06/09/2025 00:10,2025-10-10,2025-10-10
"Revocato (include le azioni di revoca, sospensione e differimento)",10/10/2025,10/10/2025,OSP FAISA-CONFAIL,Trasporto pubblico locale,"PERSONALE DIVISIONE FERRO, PERSONALE VIAGGIANTE, LINEE VESUVIANE SOC. EAV DI NAPOLI",4 ORE: DALLE 08.30 ALLE 12.30,Locale,null,29/09/2025,Campania,Napoli,29/09/2025 14:10,2025-10-10,2025-10-10
In Programma,10/10/2025,10/10/2025,OSR SUL,Trasporto pubblico locale,PERSONALE SOC. ATAC DI ROMA,24 ORE,Locale,null,09/09/2025,Lazio,Roma,09/09/2025 16:30,2025-10-10,2025-10-10
In Programma,10/10/2025,10/10/2025,OSR USB LAVORO PRIVATO/ORSA TPL,Trasporto pubblico locale,PERSONALE SOC. ATAC DI ROMA,4 ORE: DALLE 8.30 ALLE 12.30,Locale,null,12/09/2025,Lazio,Roma,12/09/2025 09:58,2025-10-10,2025-10-10
In Programma,08/10/2025,08/10/2025,OSR UILT-UIL/UGL FERROVIERI/SALPAS-ORSA FERROVIE/FAST-CONFSAL,Appalti ferroviari,PERSONALE APPALTI FERROVIARI DELLA SOC. COOPSERVICE SCDP C/O SOC. TRENITALIA REGIONE LAZIO,4 ORE: PRIMA META' DEL TURNO,Regionale,null,16/09/2025,Lazio,Tutte,16/09/2025 20:29,2025-10-08,2025-10-08
In Programma,07/10/2025,07/10/2025,OSR USB LAVORO PRIVATO,Trasporto pubblico locale,PERSONALE SOC. BUSITALIA SITA NORD REGIONE UMBRIA,24 ORE: VARIE MODALITA',Regionale,null,31/07/2025,Umbria,Tutte,31/07/2025 14:33,2025-10-07,2025-10-07
In Programma,06/10/2025,06/10/2025,OSP FILT-CGIL/UILT-UIL/UGL-FNA,Trasporto pubblico locale,PERSONALE SOC. CSC MOBILITA' DI LATINA,24 ORE,Locale,null,12/09/2025,Lazio,Latina,12/09/2025 10:28,2025-10-06,2025-10-06
In Programma,06/10/2025,06/10/2025,RSA UGL AUTOFERRO,Trasporto pubblico locale,"PERSONALE SOCC. ATI FIDENTE, MIORELLI, B & B SERVICE APPALTO PULIZIA E MANOVRA PRESSO SOC. AMT DI GENOVA",4 ORE: DALLE 11.30 ALLE 15.30,Locale,null,12/09/2025,Liguria,Genova,12/09/2025 16:18,2025-10-06,2025-10-06
"Revocato (include le azioni di revoca, sospensione e differimento)",04/10/2025,04/10/2025,OSR ORSA TRASPORTI AUTOFERRO TPL,Trasporto pubblico locale,PERSONALE SOC. EAV DI NAPOLI,4 ORE: DALLE 19.40 ALLE 23.40,Locale,null,17/08/2025,Campania,Napoli,17/08/2025 12:24,2025-10-04,2025-10-04
Effettuato,03/10/2025,03/10/2025,CGIL,Generale,SCIOPERO GENERALE SETTORI PUBBLICI E PRIVATI,"INTERA GIORNATA - AEREO: DALLE 00.01 ALLE 24.00; FERROVIARIO: DALLE 21.00 DEL 2/10 ALLE 20.59 DEL 3/10; TPL, TAXI, MARITTIMO, CIRCOLAZIONE E SICUREZZA STRADALE: VARIE MODALITA'",Nazionale,"ART. 2, CO. 7 L. 146/90 E S.M.I. - ADESIONE O.S. CSS",01/10/2025,Italia,Tutte,02/10/2025 09:45,2025-10-03,2025-10-03
Effettuato,03/10/2025,03/10/2025,CIB UNICOBAS,Generale,SCIOPERO GENERALE SETTORI PUBBLICI E PRIVATI,"INTERA GIORNATA - ESCLUSI TUTTI I TIPI DI TRASPORTI, DI TERRA, CIELO E MARE, PUBBLICI E PRIVATI",Nazionale,"ART. 2, CO. 7 L. 146/90 E S.M.I. - ESCLUSI TUTTI I TIPI DI TRASPORTI, DI TERRA, CIELO E MARE, PUBBLICI E PRIVATI",01/10/2025,Italia,Tutte,02/10/2025 11:58,2025-10-03,2025-10-03
Effettuato,03/10/2025,03/10/2025,CUB/SGB,Generale,SCIOPERO GENERALE SETTORI PUBBLICI E PRIVATI,24 ORE: DALLE 00.00 ALLE 23.59 - ATTIVITA' FERROVIARIE: DALLE 21.00 DEL 2/10 ALLE 21.00 DEL 3/10; TPL 24 ORE VARIE MODALITA' DEL 3/10; AUTOSTRADE: DALLE 22.00 DEL 2/10 ALLE 22.00 DEL 3/10; PORTUALI: INTERA GIORNATA; AEREO: 24 ORE,Nazionale,"ART. 2, CO. 7 L. 146/90 E S.M.I.",01/10/2025,Italia,Tutte,02/10/2025 14:11,2025-10-03,2025-10-03
Effettuato,03/10/2025,03/10/2025,OSP FAISA-CISAL,Trasporto pubblico locale,PERSONALE SOC. SCHIAFFINI TRAVEL DI PONZA (LT),4 ORE: DALLE 11.00 ALLE 15.00,Locale,null,09/09/2025,Lazio,Latina,09/09/2025 16:35,2025-10-03,2025-10-03
Effettuato,03/10/2025,03/10/2025,OSR FAISA-CISAL,Trasporto pubblico locale,PERSONALE SOC. AUTOLINEE RUSSO DI PALERMO,24 ORE,Locale,null,17/09/2025,Sicilia,Palermo,17/09/2025 13:36,2025-10-03,2025-10-03
Effettuato,03/10/2025,03/10/2025,OSR FAISA-CISAL,Trasporto pubblico locale,PERSONALE SOC. ETNA TRASPORTI DI CATANIA,24 ORE,Locale,null,17/09/2025,Sicilia,Catania,17/09/2025 13:36,2025-10-03,2025-10-03
Effettuato,03/10/2025,03/10/2025,OSR FAISA-CISAL,Trasporto pubblico locale,PERSONALE SOC. INTERBUS DI ENNA,24 ORE,Locale,null,17/09/2025,Sicilia,Enna,17/09/2025 13:36,2025-10-03,2025-10-03
Effettuato,03/10/2025,03/10/2025,OSR FAISA-CISAL,Trasporto pubblico locale,PERSONALE SOC. SEGESTA AUTOLINEE DI PALERMO,24 ORE,Locale,null,17/09/2025,Sicilia,Palermo,17/09/2025 13:36,2025-10-03,2025-10-03
"Revocato (include le azioni di revoca, sospensione e differimento)",03/10/2025,03/10/2025,OST FILT-CGIL/FIT-CISL/UILT-UIL/UGL/FAISA-CISAL + RSU,Trasporto pubblico locale,PERSONALE SOC. ARRIVA ITALIA DI BERGAMO,4 ORE: DALLE 08.30 ALLE 12.30,Locale,null,16/09/2025,Lombardia,Bergamo,16/09/2025 14:42,2025-10-03,2025-10-03
Effettuato,03/10/2025,03/10/2025,SI-COBAS,Generale,SCIOPERO GENERALE CATEGORIE PUBBLICHE E PRIVATE,INTERA GIORNATA - FERROVIARIO: DALLE 00.01 ALLE 20.59,Nazionale,"ESCLUSI I SETTORI INTERESSATI DA ASTENSIONI PRECEDENTEMENTE PROCLAMATE E DALLE CONSULTAZIONI ELETTORALI DELLE REGIONI V. D'AOSTA, MARCHE E CALABRIA",18/09/2025,Italia,Tutte,18/09/2025 17:26,2025-10-03,2025-10-03
Effettuato,03/10/2025,03/10/2025,USB,Generale,SCIOPERO GENERALE SETTORI PUBBLICI E PRIVATI,"INTERA GIORNATA - AEREO: DALLE 00.00 ALLE 23.59; FERROVIARIO: DALLE 21.00 DEL 2/10 ALLE 20.59 DEL 3/10; TPL, MARITTIMO: 24 ORE VARIE MODALITA'; TAXI: DALLE 00.00 ALLE 23.59",Nazionale,"ART. 2, CO. 7 L. 146/90 E S.M.I. - ADESIONE O.S. CSS",01/10/2025,Italia,Tutte,01/10/2025 20:58,2025-10-03,2025-10-03
Effettuato,02/10/2025,02/10/2025,OSR FILT-CGIL/UILT-UIL,Appalti ferroviari,PERSONALE SOC. CONSORZIO STABILE CMF PRESSO APPALTO ROMA PARCO PRENESTINO LOTTO I.C. NOTTE,MEZZO TURNO PER OGNI TURNO,Locale,null,18/09/2025,Lazio,Roma,18/09/2025 13:53,2025-10-02,2025-10-02
"Revocato (include le azioni di revoca, sospensione e differimento)",02/10/2025,02/10/2025,RSA UILT-UIL,Trasporto pubblico locale,"PERSONALE SOCC. ATI FIDENTE, MIORELLI, B & B APPALTO PULIZIA E MANOVRA PRESSO SOC. AMT DI GENOVA",4 ORE: DALLE 11.00 ALLE 15.00,Locale,null,17/09/2025,Liguria,Genova,17/09/2025 15:00,2025-10-02,2025-10-02
"Revocato (include le azioni di revoca, sospensione e differimento)",29/09/2025,29/09/2025,OSR FAISA-CISAL,Trasporto pubblico locale,PERSONALE SOC. AUTOLINEE RUSSO DI PALERMO,24 ORE,Locale,null,15/09/2025,Sicilia,Palermo,15/09/2025 13:35,2025-09-29,2025-09-29
"Revocato (include le azioni di revoca, sospensione e differimento)",29/09/2025,29/09/2025,OSR FAISA-CISAL,Trasporto pubblico locale,PERSONALE SOC. SEGESTA AUTOLINEE DI PALERMO,24 ORE,Locale,null,15/09/2025,Sicilia,Palermo,15/09/2025 13:35,2025-09-29,2025-09-29
"Revocato (include le azioni di revoca, sospensione e differimento)",29/09/2025,29/09/2025,OSR FAISA-CISAL,Trasporto pubblico locale,PERSONALE SOC. INTERBUS DI ENNA,24 ORE,Locale,null,15/09/2025,Sicilia,Enna,15/09/2025 13:35,2025-09-29,2025-09-29
"Revocato (include le azioni di revoca, sospensione e differimento)",29/09/2025,29/09/2025,OSR FAISA-CISAL,Trasporto pubblico locale,PERSONALE SOC. ETNA TRASPORTI DI CATANIA,24 ORE,Locale,null,15/09/2025,Sicilia,Catania,15/09/2025 13:35,2025-09-29,2025-09-29
"Revocato (include le azioni di revoca, sospensione e differimento)",29/09/2025,29/09/2025,OST FILT-CGIL/UILT-UIL,Trasporto pubblico locale,PERSONALE SOC. GLOSER ITALIA IN APPALTO PRESSO SOC. AMT DI GENOVA,PRIME 4 ORE DI OGNI TURNO,Locale,null,18/09/2025,Liguria,Genova,19/09/2025 12:52,2025-09-29,2025-09-29
Effettuato,26/09/2025,26/09/2025,ADL VARESE,Aereo,PERSONALE SOC. DUSSMANN SERVICE ADDETTO A PULIZIE AEROPORTO DI MILANO MALPENSA,24 ORE: DALLE 00.00 ALLE 24.00,Nazionale,null,13/09/2025,Italia,Tutte,13/09/2025 14:44,2025-09-26,2025-09-26
"Revocato (include le azioni di revoca, sospensione e differimento)",26/09/2025,26/09/2025,CUB TRASPORTI,Aereo,PERSONALE AZIENDE DI HANDLING AEROPORTUALE E SOCIETA' ASSOCIATE ASSOHANDLERS,24 ORE: DALLE 00.00 ALLE 23.59,Nazionale,null,31/07/2025,Italia,Tutte,31/07/2025 16:46,2025-09-26,2025-09-26
Effettuato,26/09/2025,26/09/2025,CUB TRASPORTI,Aereo,"LAVORATORI COMPARTO AEREO, AEROPORTUALE E INDOTTO AEROPORTI",24 ORE: DALLE 00.00 ALLE 23.59,Nazionale,ADESIONE OS USB LAVORO PRIVATO,01/08/2025,Italia,Tutte,01/08/2025 08:21,2025-09-26,2025-09-26
Effettuato,26/09/2025,26/09/2025,FILT-CGIL,Aereo,PERSONALE NAVIGANTE SOC. WIZZ AIR MALTA LIMITED,24 ORE: DALLE 00.00 ALLE 24.00,Nazionale,null,12/09/2025,Italia,Tutte,12/09/2025 13:36,2025-09-26,2025-09-26
"Revocato (include le azioni di revoca, sospensione e differimento)",26/09/2025,26/09/2025,FLAI TRASPORTI E SERVIZI,Aereo,PERSONALE AZIENDE HANDLING ASSOCIATE ASSOHANDLERS OPERANTI NEI SEDIMI AEROPORTUALI ITALIANI,24 ORE,Nazionale,null,30/07/2025,Italia,Tutte,30/07/2025 00:08,2025-09-26,2025-09-26
Effettuato,26/09/2025,26/09/2025,FLAI TRASPORTI E SERVIZI,Aereo,PERSONALE SOC. AIRPORT HANDLING AEROPORTI DI MILANO LINATE E MALPENSA,4 ORE: DALLE 10.00 ALLE 14.00,Nazionale,null,26/08/2025,Italia,Tutte,26/08/2025 09:38,2025-09-26,2025-09-26
Effettuato,26/09/2025,26/09/2025,FLAI TRASPORTI E SERVIZI,Aereo,PERSONALE AZIENDE HANDLING ASSOCIATE ASSOHANDLERS OPERANTI NEI SEDIMI AEROPORTUALI ITALIANI,4 ORE: DALLE 10.00 ALLE 14.00,Nazionale,null,28/08/2025,Italia,Tutte,28/08/2025 11:10,2025-09-26,2025-09-26
Effettuato,26/09/2025,26/09/2025,OSR FILT-CGIL/FIT-CISL/UILT-UIL/UGL-TA,Aereo,PERSONALE SOC. AIRPORT HANDLING AEROPORTI DI MILANO LINATE E MALPENSA,4 ORE: DALLE 10.00 ALLE 14.00,Nazionale,null,26/08/2025,Italia,Tutte,26/08/2025 09:36,2025-09-26,2025-09-26
Effettuato,26/09/2025,26/09/2025,OSR UGL-TA,Aereo,PERSONALE SOC. SOGAERSECURITY AEROPORTO DI CAGLIARI,24 ORE: DALLE 00.00 ALLE 23.59,Interregionale,null,01/09/2025,Sardegna,Cagliari,01/09/2025 14:23,2025-09-26,2025-09-26
Effettuato,26/09/2025,26/09/2025,OSR USB LAVORO PRIVATO,Aereo,PERSONALE SOC. AIRPORT HANDLING AEROPORTI DI MILANO LINATE E MALPENSA,4 ORE: DALLE 10.00 ALLE 14.00,Nazionale,null,12/09/2025,Italia,Tutte,12/09/2025 14:42,2025-09-26,2025-09-26
Effettuato,26/09/2025,26/09/2025,OST CUB TRASPORTI,Aereo,PERSONALE SOC. AIRPORT HANDLING AEROPORTI DI MILANO LINATE E MALPENSA,4 ORE: DALLE 10.00 ALLE 14.00,Nazionale,null,02/09/2025,Italia,Tutte,02/09/2025 16:32,2025-09-26,2025-09-26
Effettuato,26/09/2025,26/09/2025,OST CUB TRASPORTI,Aereo,PERSONALE SOC. ALHA AEROPORTO DI MILANO MALPENSA,4 ORE: DALLE 10.00 ALLE 14.00,Nazionale,null,02/09/2025,Italia,Tutte,02/09/2025 16:33,2025-09-26,2025-09-26
Effettuato,26/09/2025,26/09/2025,OST CUB TRASPORTI,Aereo,PERSONALE SOC. MLE AEROPORTO DI MILANO MALPENSA,4 ORE: DALLE 10.00 ALLE 14.00,Nazionale,null,09/09/2025,Italia,Tutte,09/09/2025 12:04,2025-09-26,2025-09-26
Effettuato,26/09/2025,26/09/2025,OST CUB TRASPORTI,Aereo,PERSONALE AUTISTI SOC. SEA AEROPORTI DI MILANO LINATE E MALPENSA,24 ORE: DALLE 00.00 ALLE 23.59,Nazionale,null,11/09/2025,Italia,Tutte,11/09/2025 11:59,2025-09-26,2025-09-26
Effettuato,26/09/2025,26/09/2025,UILT-UIL,Aereo,PERSONALE SOC. VOLOTEA,24 ORE,Nazionale,null,04/08/2025,Italia,Tutte,04/08/2025 14:06,2025-09-26,2025-09-26
